"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"74","Dietolive","1040909$10.97%1.04m","-","68","65.17%","319.6",""
"46","Trolleficent","979144$10.31%979.1k","-","60","63.89%","300.7",""
"64","Parisshelton","941640$9.92%941.6k","69","55","59.42%","289.1",""
"47","Dïrty","912655$9.61%912.7k","-","57","81.57%","280.2",""
"63","Dryrun","868347$9.15%868.3k","64","82","64.57%","266.6",""
"54","Buffymctank","834004$8.79%834.0k","-","53","61.55%","256.1",""
"53","Bandakar","770902$8.12%770.9k","73","62","86.77%","236.7",""
"31","Joepesci","721993$7.61%722.0k","-","56","65.52%","221.7",""
"60","Kasako","707438$7.45%707.4k","64","70","72.71%","217.2",""
"34","Seadub","622479$6.56%622.5k","70","23","52.44%","191.1",""
"62","Guliveris","503011$5.30%503.0k","-","52","72.87%","154.5",""
"4","Furkinstine","379451$4.00%379.5k","49","-","46.83%","116.5",""
"73","Gonz","120862$1.27%120.9k","-","74","9.34%","37.1",""
"79","Tazdink","30582$0.32%30.6k","69","77","2.75%","9.4",""
"86","Pythagorean","19361$0.20%19.4k","-","86","3.05%","5.9",""
"81","Deyn","18710$0.20%18.7k","71","78","3.45%","5.7",""
"84","Tauraheim","16944$0.18%16.9k","-","84","6.42%","5.2",""
"76","Eighchbar","4337$0.05%4.3k","-","78","0.66%","1.3",""
