"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","1088909$19.38%1.09m","48.19%","-","70.00%","336.9",""
"Bandakar","491736$8.75%491.7k","46.88%","-","41.18%","152.2",""
"Darunor","463699$8.25%463.7k","43.20%","-","37.93%","143.5",""
"Danty","314089$5.59%314.1k","40.65%","-","29.77%","97.2",""
"Muhhgi","241235$4.29%241.2k","8.98%","61","21.24%","74.6",""
"Akecheta","236604$4.21%236.6k","8.02%","62","21.00%","73.2",""
"Changó","184438$3.28%184.4k","18.37%","-","16.41%","57.1",""
"Minuteman","176123$3.14%176.1k","7.45%","61","17.43%","54.5",""
"Pemberstone","161889$2.88%161.9k","4.34%","-","15.46%","50.1",""
"Chingu","160607$2.86%160.6k","5.36%","-","18.24%","49.7",""
"Deadstrike","148375$2.64%148.4k","5.99%","61","16.29%","45.9",""
"Impervious","141587$2.52%141.6k","11.64%","61","13.16%","43.8",""
"Dankling","135234$2.41%135.2k","5.10%","56","16.01%","41.8",""
"Kirilov","127729$2.27%127.7k","9.60%","65","13.48%","39.5",""
"Chainguin","127142$2.26%127.1k","11.34%","64","11.65%","39.3",""
"Trii","115318$2.05%115.3k","8.11%","64","10.77%","35.7",""
"Ultimecia","81262$1.45%81.3k","7.30%","64","3.93%","25.1",""
"Hoebowjoe","70127$1.25%70.1k","10.86%","62","3.23%","21.7",""
"Tazdink","68671$1.22%68.7k","6.92%","60","4.32%","21.2",""
"Deyn","67645$1.20%67.6k","7.69%","63","4.38%","20.9",""
"Jiero","63563$1.13%63.6k","16.67%","-","2.35%","19.7",""
"Gonz","61214$1.09%61.2k","10.64%","65","2.61%","18.9",""
"Crow","61070$1.09%61.1k","5.58%","-","3.27%","18.9",""
"Nakur","60981$1.09%61.0k","15.46%","64","4.51%","18.9",""
"Melven","57493$1.02%57.5k","12.36%","61","1.41%","17.8",""
"Funk","56007$1.00%56.0k","9.70%","60","1.58%","17.3",""
"Ghazan","55182$0.98%55.2k","6.35%","-","3.27%","17.1",""
"Mogs","52929$0.94%52.9k","9.23%","-","3.33%","16.4",""
"Mexius","51894$0.92%51.9k","11.50%","-","3.05%","16.1",""
"Pythagorean","51128$0.91%51.1k","11.96%","62","2.05%","15.8",""
"Eighchbar","48792$0.87%48.8k","5.33%","-","1.65%","15.1",""
"Fossett","48206$0.86%48.2k","14.70%","64","2.26%","14.9",""
"Necrohealya","46252$0.82%46.3k","6.41%","58","2.54%","14.3",""
"Grimseeker","45921$0.82%45.9k","10.16%","-","2.22%","14.2",""
"Milku","45043$0.80%45.0k","11.57%","65","1.87%","13.9",""
"Valara","43681$0.78%43.7k","11.13%","-","2.69%","13.5",""
"Cavander","43611$0.78%43.6k","11.33%","62","1.65%","13.5",""
"Hii","42028$0.75%42.0k","7.08%","-","1.54%","13.0",""
"Claudiu","41698$0.74%41.7k","8.83%","61","1.97%","12.9",""
"Phugoid","38553$0.69%38.6k","4.36%","-","1.38%","11.9",""
