"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"57","Deyn","618380$10.46%618.4k","32.61%","69","55","49.78%","215.9",""
"54","Wangcake","548999$9.29%549.0k","38.57%","70","54","80.43%","191.7",""
"60","Pythagorean","547518$9.26%547.5k","40.59%","-","61","59.40%","191.2",""
"42","Enders","517462$8.75%517.5k","42.55%","-","43","65.50%","180.7",""
"59","Eighchbar","503577$8.52%503.6k","40.38%","-","60","76.53%","175.8",""
"37","Yunghelga","490647$8.30%490.6k","23.24%","64","51","47.22%","171.3",""
"39","Shelton","450741$7.62%450.7k","43.34%","66","46","64.39%","157.4",""
"44","Necrohealya","419864$7.10%419.9k","46.44%","70","44","74.41%","146.6",""
"50","Milku","409909$6.93%409.9k","48.71%","-","46","74.78%","143.1",""
"34","Slecht","363747$6.15%363.7k","52.22%","67","41","77.69%","127.0",""
"32","Tazdink","345083$5.84%345.1k","24.66%","68","32","39.72%","120.5",""
"25","Ratshot","333463$5.64%333.5k","52.97%","65","41","68.07%","116.4",""
"85","Hoebowjoe","42516$0.72%42.5k","-","-","85","10.97%","14.8",""
"89","Bandakar","32246$0.55%32.2k","25.27%","-","89","46.86%","11.3",""
"73","Flatzz","28265$0.48%28.3k","37.51%","-","73","49.55%","9.9",""
"56","Fossett","27596$0.47%27.6k","21.52%","68","57","3.89%","9.6",""
"75","Pemberstone","22078$0.37%22.1k","41.43%","-","75","8.16%","7.7",""
"72","Tumblebug","21449$0.36%21.4k","-","-","75","4.14%","7.5",""
"52","Akecheta","19138$0.32%19.1k","42.02%","-","49","51.50%","6.7",""
"56","Leetwreck","18394$0.31%18.4k","41.08%","-","54","53.06%","6.4",""
"57","Valara","17447$0.30%17.4k","-","-","58","2.80%","6.1",""
"76","Ultimecia","16463$0.28%16.5k","39.91%","-","76","2.64%","5.7",""
"62","Dohvyk","16437$0.28%16.4k","40.47%","-","61","53.42%","5.7",""
"53","Changó","15724$0.27%15.7k","46.39%","-","51","45.06%","5.5",""
"50","Guliveris","11248$0.19%11.2k","35.82%","-","51","27.14%","3.9",""
"66","Gaunz","8635$0.15%8.6k","32.11%","66","71","1.00%","3.0",""
"70","Stankdik","8401$0.14%8.4k","16.81%","67","71","1.11%","2.9",""
"87","Jiero","7987$0.14%8.0k","14.42%","-","88","1.43%","2.8",""
"74","Crox","7691$0.13%7.7k","29.60%","-","74","1.00%","2.7",""
"62","Dietolive","7401$0.13%7.4k","9.86%","70","60","0.00%","2.6",""
"64","Kirilov","6149$0.10%6.1k","51.00%","-","68","4.77%","2.1",""
"13","Duhd","4694$0.08%4.7k","-","64","19","0.60%","1.6",""
"19","Parisshelton","4551$0.08%4.6k","-","68","19","1.30%","1.6",""
"54","Sur","3689$0.06%3.7k","7.45%","68","55","0.00%","1.3",""
"79","Ishney","3200$0.05%3.2k","50.39%","-","78","0.88%","1.1",""
"62","Deadstrike","2897$0.05%2.9k","61.39%","-","66","3.08%","1.0",""
"17","Dirtÿ","2760$0.05%2.8k","-","71","15","0.00%","1.0",""
"-","Irisviiel","1960$0.03%2.0k","-","61","-","0.00%","0.7",""
"65","Seadub","1952$0.03%2.0k","85.75%","70","65","0.00%","0.7",""
"55","Dankling","1714$0.03%1.7k","2.06%","66","56","0.00%","0.6",""
