"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"92","Milku","52346$14.07%52.3k","33.37%","65","89","82.21%","164.5",""
"50","Deyn","38751$10.41%38.8k","18.26%","64","43","23.54%","121.8",""
"38","Pythagorean","36120$9.71%36.1k","29.44%","62","50","64.92%","113.5",""
"40","Necrohealya","33318$8.95%33.3k","28.88%","58","73","44.24%","104.7",""
"31","Hii","30198$8.12%30.2k","38.64%","63","36","65.03%","94.9",""
"57","Gonz","30176$8.11%30.2k","12.22%","66","47","22.71%","94.8",""
"35","Eighchbar","28463$7.65%28.5k","43.84%","58","59","59.48%","89.4",""
"35","Phugoid","28376$7.63%28.4k","39.69%","65","27","56.97%","89.2",""
"23","Ghazan","20487$5.51%20.5k","24.38%","63","21","19.50%","64.4",""
"26","Nakur","19346$5.20%19.3k","52.79%","64","22","59.24%","60.8",""
"12","Tazdink","15979$4.29%16.0k","8.66%","60","19","10.58%","50.2",""
"93","Mexius","5077$1.36%5.1k","2.87%","64","93","7.59%","16.0",""
"92","Bandakar","4500$1.21%4.5k","3.95%","61","93","5.46%","14.1",""
"98","Grimseeker","3924$1.05%3.9k","-","65","99","2.65%","12.3",""
"90","Kirilov","2831$0.76%2.8k","13.29%","65","90","4.91%","8.9",""
"85","Dankling","2431$0.65%2.4k","-","57","91","0.00%","7.6",""
"84","Impervious","2387$0.64%2.4k","33.51%","61","83","28.14%","7.5",""
"84","Danty","2375$0.64%2.4k","18.97%","64","83","18.21%","7.5",""
"81","Flatzz","2011$0.54%2.0k","7.75%","61","80","12.89%","6.3",""
"60","Ultimecia","1897$0.51%1.9k","39.61%","64","59","1.20%","6.0",""
"-","Funk","1738$0.47%1.7k","-","60","-","0.00%","5.5",""
"39","Mogs","1590$0.43%1.6k","-","62","39","0.00%","5.0",""
"45","Fossett","1251$0.34%1.3k","-","64","44","0.00%","3.9",""
"48","Valara","920$0.25%920.0","-","62","48","0.00%","2.9",""
"-","Hoebowjoe","864$0.23%864.0","-","62","-","0.00%","2.7",""
"57","Trii","750$0.20%750.0","63.98%","64","56","2.20%","2.4",""
"-","Chingu","718$0.19%718.0","-","58","-","0.00%","2.3",""
"32","Cavander","699$0.19%699.0","-","62","32","0.00%","2.2",""
"51","Deadstrike","625$0.17%625.0","73.22%","61","49","11.22%","2.0",""
"45","Muhhgi","566$0.15%566.0","32.30%","61","44","24.04%","1.8",""
"45","Akecheta","561$0.15%561.0","58.57%","-","43","31.48%","1.8",""
"32","Melven","319$0.09%319.0","-","61","31","0.00%","1.0",""
"-","Bugenhagen","205$0.06%205.0","-","32","-","0.76%","0.6",""
"18","Crox","189$0.05%189.0","50.78%","63","20","0.00%","0.6",""
"20","Changó","110$0.03%110.0","86.25%","64","18","15.38%","0.3",""
