"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"83","Eighchbar","739894$21.17%739.9k","30.39%","69","81","75.09%","195.5",""
"51","Deyn","701678$20.08%701.7k","32.76%","69","44","39.88%","185.4",""
"61","Pythagorean","589292$16.86%589.3k","38.69%","70","57","52.87%","155.7",""
"43","Enders","528575$15.12%528.6k","37.03%","-","41","51.97%","139.7",""
"44","Tauraheim","420470$12.03%420.5k","50.98%","-","53","60.47%","111.1",""
"10","Kasako","273641$7.83%273.6k","33.00%","52","35","27.72%","72.3",""
"52","Slecht","89270$2.55%89.3k","35.21%","-","52","13.16%","23.6",""
"92","Hoebowjoe","38471$1.10%38.5k","-","-","93","6.51%","10.2",""
"70","Changó","22131$0.63%22.1k","42.42%","-","67","51.64%","5.8",""
"66","Akecheta","21670$0.62%21.7k","43.68%","-","63","46.43%","5.7",""
"67","Dohvyk","20344$0.58%20.3k","40.12%","-","66","47.76%","5.4",""
"50","Bandakar","17789$0.51%17.8k","19.03%","-","44","11.69%","4.7",""
"89","Trolleficent","8538$0.24%8.5k","-","-","87","1.32%","2.3",""
"76","Seadub","5521$0.16%5.5k","73.66%","71","74","7.67%","1.5",""
"-","Jiero","5104$0.15%5.1k","5.36%","-","-","0.00%","1.3",""
"31","Crox","4355$0.12%4.4k","47.09%","-","32","1.28%","1.2",""
"69","Kirilov","3069$0.09%3.1k","60.22%","71","70","1.84%","0.8",""
"95","Gaunz","2880$0.08%2.9k","-","66","96","0.00%","0.8",""
"41","Furckinstein","2428$0.07%2.4k","18.41%","68","37","1.92%","0.6",""
