"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"50","Disk","591001$10.44%591.0k","27.61%","60","70","58.96%","153.2",""
"30","Milku","550631$9.73%550.6k","31.39%","60","46","71.19%","142.8",""
"22","Ghazan","481117$8.50%481.1k","13.41%","59","37","39.31%","124.8",""
"19","Deyn","480340$8.49%480.3k","27.93%","-","26","45.05%","124.6",""
"18","Pythagorean","475218$8.39%475.2k","20.48%","-","35","54.41%","123.2",""
"26","Gonz","474088$8.37%474.1k","16.58%","-","31","41.55%","122.9",""
"23","Enders","464250$8.20%464.3k","19.99%","58","46","43.25%","120.4",""
"23","Mesho","447568$7.91%447.6k","28.19%","-","37","69.18%","116.1",""
"23","Necrohealya","416726$7.36%416.7k","14.93%","-","28","52.41%","108.1",""
"9","Trololololo","338718$5.98%338.7k","30.35%","57","19","31.07%","87.8",""
"27","Darunor","114743$2.03%114.7k","31.03%","-","34","12.44%","29.8",""
"82","Ultimecia","84622$1.49%84.6k","7.46%","-","83","23.15%","21.9",""
"69","Hoebowjoe","68150$1.20%68.2k","4.22%","-","67","6.71%","17.7",""
"69","Mexius","61231$1.08%61.2k","8.29%","-","71","21.83%","15.9",""
"55","Dietolive","43650$0.77%43.7k","8.07%","-","57","41.26%","11.3",""
"40","Valara","36048$0.64%36.0k","0.15%","-","39","3.11%","9.3",""
"64","Trike","35560$0.63%35.6k","5.17%","-","64","15.26%","9.2",""
"58","Cavander","35210$0.62%35.2k","5.13%","-","58","7.76%","9.1",""
"75","Jiero","35112$0.62%35.1k","1.79%","-","76","2.21%","9.1",""
"58","Deadstrike","33542$0.59%33.5k","1.38%","57","67","2.17%","8.7",""
"51","Kirilov","33236$0.59%33.2k","10.78%","-","55","6.33%","8.6",""
"40","Mogs","31525$0.56%31.5k","4.02%","-","37","2.19%","8.2",""
"49","Danty","30867$0.55%30.9k","15.85%","-","55","28.86%","8.0",""
"53","Crox","30455$0.54%30.5k","9.37%","-","58","3.27%","7.9",""
"37","Changó","29203$0.52%29.2k","14.00%","-","41","27.33%","7.6",""
"32","Akecheta","29020$0.51%29.0k","5.51%","-","32","3.25%","7.5",""
"70","Grimseeker","28713$0.51%28.7k","7.86%","-","74","2.00%","7.4",""
"40","Trii","21674$0.38%21.7k","7.34%","-","43","1.41%","5.6",""
"40","Chainguin","21275$0.38%21.3k","9.31%","60","43","1.53%","5.5",""
"29","Melven","20141$0.36%20.1k","0.86%","-","26","1.40%","5.2",""
"52","Kade","19284$0.34%19.3k","13.65%","-","55","3.05%","5.0",""
"41","Furckinstein","18372$0.32%18.4k","3.92%","-","37","1.36%","4.8",""
"37","Minuteman","18071$0.32%18.1k","2.25%","-","46","5.51%","4.7",""
"52","Ishney","15594$0.28%15.6k","-","-","59","0.00%","4.0",""
"30","Funk","15404$0.27%15.4k","-","-","27","0.00%","4.0",""
"8","Nakur","15357$0.27%15.4k","49.87%","59","16","3.25%","4.0",""
"28","Fossett","14590$0.26%14.6k","-","-","27","1.02%","3.8",""
"-","Strollin","355$0.01%355.0","-","28","-","0.00%","0.1",""
"-","Mooed","203$0.00%203.0","35.76%","32","-","0.00%","0.1",""
