"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"52","Milku","32687$14.15%32.7k","57.72%","68","53","97.01%","107.2",""
"25","Necrohealya","23215$10.05%23.2k","63.24%","67","29","66.50%","76.1",""
"24","Pythagorean","22921$9.92%22.9k","54.63%","65","37","50.27%","75.1",""
"24","Eighchbar","22661$9.81%22.7k","45.56%","61","52","60.23%","74.3",""
"23","Tazdink","21979$9.51%22.0k","31.72%","64","33","29.76%","72.1",""
"13","Deyn","18534$8.02%18.5k","52.16%","64","19","22.04%","60.8",""
"9","Enders","17383$7.52%17.4k","63.08%","65","14","56.72%","57.0",""
"9","Gonz","15512$6.71%15.5k","51.32%","65","10","24.70%","50.9",""
"8","Takanu","13738$5.95%13.7k","74.99%","61","14","39.50%","45.0",""
"4","Phugoid","12948$5.60%12.9k","65.06%","67","5","47.79%","42.4",""
"9","Slecht","12417$5.38%12.4k","66.31%","57","36","70.87%","40.7",""
"95","Ghazan","7543$3.27%7.5k","24.77%","64","96","4.65%","24.7",""
"92","Minuteman","1725$0.75%1.7k","-","63","91","0.00%","5.7",""
"69","Flatzz","1058$0.46%1.1k","19.67%","61","73","19.71%","3.5",""
"68","Valara","920$0.40%920.0","-","-","64","0.00%","3.0",""
"68","Hoebowjoe","865$0.37%865.0","-","66","65","0.00%","2.8",""
"-","Claudiu","859$0.37%859.0","-","65","-","0.00%","2.8",""
"48","Ultimecia","790$0.34%790.0","42.38%","-","48","0.00%","2.6",""
"60","Muhhgi","785$0.34%785.0","12.49%","63","63","26.40%","2.6",""
"60","Impervious","676$0.29%676.0","50.15%","-","63","31.10%","2.2",""
"47","Changó","538$0.23%538.0","54.71%","66","45","23.09%","1.8",""
"47","Danty","444$0.19%444.0","-","63","51","0.00%","1.5",""
"35","Bandakar","411$0.18%411.0","60.67%","68","31","15.92%","1.3",""
"21","Crox","298$0.13%298.0","58.84%","65","30","3.77%","1.0",""
"16","Akecheta","80$0.03%80.0","94.38%","63","18","27.19%","0.3",""
"56","Deadstrike","23$0.01%23.0","91.99%","64","56","0.00%","0.1",""
