"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"75","Milku","505080$16.81%505.1k","25.98%","63","75","82.20%","215.8",""
"63","Deyn","442935$14.74%442.9k","19.10%","-","62","49.93%","189.3",""
"71","Enders","427852$14.24%427.9k","20.84%","-","84","66.34%","182.8",""
"43","Gonz","416953$13.88%417.0k","14.33%","-","39","45.17%","178.2",""
"76","Disk","389601$12.97%389.6k","23.28%","61","88","58.46%","166.5",""
"24","Ghazan","338547$11.27%338.5k","20.69%","-","30","48.89%","144.7",""
"70","Nakur","175681$5.85%175.7k","33.86%","62","74","30.79%","75.1",""
"17","Fossett","113941$3.79%113.9k","28.21%","59","29","23.81%","48.7",""
"71","Hoebowjoe","23907$0.80%23.9k","-","61","69","1.34%","10.2",""
"89","Ultimecia","23027$0.77%23.0k","21.64%","64","89","7.76%","9.8",""
"74","Mogs","19328$0.64%19.3k","-","-","73","0.50%","8.3",""
"83","Grimmeat","16371$0.54%16.4k","6.39%","55","80","1.50%","7.0",""
"66","Trike","13671$0.46%13.7k","29.08%","-","69","41.32%","5.8",""
"95","Mexius","12797$0.43%12.8k","6.48%","-","95","8.54%","5.5",""
"75","Cavander","12250$0.41%12.3k","28.33%","62","74","0.00%","5.2",""
"69","Akecheta","11863$0.39%11.9k","9.19%","60","68","4.54%","5.1",""
"86","Dietolive","9186$0.31%9.2k","17.73%","60","86","25.00%","3.9",""
"85","Kirilov","8177$0.27%8.2k","40.78%","63","85","5.75%","3.5",""
"92","Trii","5549$0.18%5.5k","7.02%","61","91","0.00%","2.4",""
"83","Darunor","5289$0.18%5.3k","28.46%","-","84","1.41%","2.3",""
"50","Furckinstein","5041$0.17%5.0k","32.61%","61","51","1.70%","2.2",""
"60","Crox","4787$0.16%4.8k","11.37%","-","67","2.63%","2.0",""
"51","Muhhgi","3919$0.13%3.9k","19.79%","-","52","11.96%","1.7",""
"92","Dankling","3854$0.13%3.9k","6.09%","51","92","0.00%","1.6",""
"87","Claudiu","2779$0.09%2.8k","-","51","85","0.00%","1.2",""
"85","Deadstrike","2610$0.09%2.6k","-","59","88","0.00%","1.1",""
"80","Chainguin","2000$0.07%2.0k","-","-","82","0.00%","0.9",""
"61","Funk","1840$0.06%1.8k","-","60","57","0.00%","0.8",""
"97","Thamir","1487$0.05%1.5k","-","59","97","0.00%","0.6",""
"74","Thicc","1183$0.04%1.2k","-","58","75","0.00%","0.5",""
"96","Ezri","1127$0.04%1.1k","-","58","95","0.00%","0.5",""
"80","Minuteman","1018$0.03%1.0k","-","58","80","0.00%","0.4",""
"-","Jiero","539$0.02%539.0","-","66","-","0.00%","0.2",""
"-","Ishney","80$0.00%80.0","-","59","-","0.00%","0.0",""
