"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"41","Pythagorean","39622$12.95%39.6k","30.72%","70","36","36.52%","111.3",""
"69","Eighchbar","36546$11.95%36.5k","41.92%","69","66","60.84%","102.7",""
"64","Deyn","34102$11.15%34.1k","46.99%","69","59","29.34%","95.8",""
"63","Milku","32984$10.78%33.0k","57.85%","71","52","63.90%","92.7",""
"63","Slecht","32285$10.56%32.3k","49.93%","67","72","55.79%","90.7",""
"38","Cubensis","31034$10.15%31.0k","42.24%","63","60","40.88%","87.2",""
"54","Wangcake","30413$9.94%30.4k","50.17%","-","49","55.67%","85.5",""
"51","Yunghelga","27252$8.91%27.3k","28.67%","64","69","22.44%","76.6",""
"45","Shelton","22233$7.27%22.2k","43.60%","66","60","33.67%","62.5",""
"7","Vannawight","8414$2.75%8.4k","75.58%","61","16","35.05%","23.6",""
"89","Ghazan","4286$1.40%4.3k","35.30%","71","89","0.00%","12.0",""
"75","Guliveris","1804$0.59%1.8k","41.47%","66","77","39.71%","5.1",""
"67","Necrohealya","1765$0.58%1.8k","88.98%","-","66","16.03%","5.0",""
"73","Dietolive","1440$0.47%1.4k","-","64","75","0.00%","4.0",""
"47","Buffymctank","509$0.17%509.0","68.46%","64","49","24.03%","1.4",""
"74","Pemberstone","472$0.15%472.0","65.90%","-","73","1.69%","1.3",""
"47","Changó","423$0.14%423.0","73.86%","68","43","24.91%","1.2",""
"16","Dohvyk","158$0.05%158.0","72.81%","64","17","9.42%","0.4",""
"56","Stankdik","120$0.04%120.0","70.73%","67","57","0.00%","0.3",""
