"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"23","Wangcake","552736$17.17%552.7k","49.01%","70","19","76.74%","155.0",""
"45","Eighchbar","459563$14.28%459.6k","37.89%","69","41","76.15%","128.8",""
"23","Shelton","437321$13.59%437.3k","50.91%","68","23","67.57%","122.6",""
"26","Pythagorean","421781$13.10%421.8k","47.82%","70","23","46.15%","118.3",""
"18","Deyn","410359$12.75%410.4k","45.13%","68","16","28.74%","115.1",""
"11","Tazdink","280066$8.70%280.1k","39.92%","-","9","28.12%","78.5",""
"43","Cubensis","277782$8.63%277.8k","43.74%","65","45","25.62%","77.9",""
"9","Slecht","244228$7.59%244.2k","52.03%","67","9","51.08%","68.5",""
"95","Hoebowjoe","32447$1.01%32.4k","-","-","95","6.44%","9.1",""
"70","Bandakar","24031$0.75%24.0k","43.06%","69","67","56.59%","6.7",""
"85","Pemberstone","18816$0.58%18.8k","68.26%","-","85","13.41%","5.3",""
"48","Dohvyk","13712$0.43%13.7k","55.47%","69","45","46.59%","3.8",""
"35","Buffymctank","11969$0.37%12.0k","62.89%","-","33","50.19%","3.4",""
"46","Guliveris","10218$0.32%10.2k","58.97%","-","44","30.52%","2.9",""
"79","Seadub","6720$0.21%6.7k","74.38%","70","79","15.42%","1.9",""
"33","Crox","5662$0.18%5.7k","39.77%","-","27","2.41%","1.6",""
"67","Pointed","5002$0.16%5.0k","51.03%","-","72","1.71%","1.4",""
"-","Jiero","2960$0.09%3.0k","7.06%","-","-","0.00%","0.8",""
"98","Irisviiel","2426$0.08%2.4k","-","67","98","0.00%","0.7",""
"-","Fossett","846$0.03%846.0","-","-","-","0.00%","0.2",""
