"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"63","Deyn","629280$14.33%629.3k","35.33%","-","58","56.68%","240.2",""
"51","Cubensis","530406$12.08%530.4k","35.96%","63","70","66.50%","202.5",""
"67","Eighchbar","530303$12.08%530.3k","30.81%","68","70","80.20%","202.4",""
"49","Yunghelga","513083$11.69%513.1k","23.70%","64","66","48.97%","195.8",""
"68","Wangcake","493504$11.24%493.5k","39.90%","71","64","80.73%","188.4",""
"57","Slecht","416684$9.49%416.7k","47.26%","66","67","72.59%","159.0",""
"69","Milku","402090$9.16%402.1k","51.41%","-","63","75.31%","153.5",""
"19","Ratshot","268149$6.11%268.1k","55.53%","64","29","65.86%","102.4",""
"20","Shelton","263384$6.00%263.4k","37.40%","66","27","40.87%","100.5",""
"78","Ghazan","125326$2.85%125.3k","27.33%","70","77","10.52%","47.8",""
"92","Pemberstone","20097$0.46%20.1k","44.89%","-","93","8.19%","7.7",""
"52","Buffymctank","19362$0.44%19.4k","40.18%","64","52","49.09%","7.4",""
"88","Hoebowjoe","18526$0.42%18.5k","-","69","88","0.95%","7.1",""
"76","Tumblebug","15598$0.36%15.6k","-","65","74","0.81%","6.0",""
"63","Changó","13934$0.32%13.9k","44.54%","-","61","46.88%","5.3",""
"40","Flatzz","12067$0.27%12.1k","40.60%","-","39","41.27%","4.6",""
"70","Stankdik","10843$0.25%10.8k","11.49%","66","73","2.37%","4.1",""
"49","Dohvyk","10360$0.24%10.4k","49.24%","-","52","43.31%","4.0",""
"70","Fossett","10052$0.23%10.1k","1.51%","69","69","1.06%","3.8",""
"85","Valara","9767$0.22%9.8k","-","66","83","1.00%","3.7",""
"54","Guliveris","9326$0.21%9.3k","43.49%","-","57","30.97%","3.6",""
"82","Dietolive","8975$0.20%9.0k","28.68%","69","82","0.00%","3.4",""
"82","Paskal","8032$0.18%8.0k","-","55","79","0.80%","3.1",""
"90","Gaunz","7794$0.18%7.8k","13.20%","66","90","0.00%","3.0",""
"63","Bandakar","7338$0.17%7.3k","27.11%","-","60","11.04%","2.8",""
"73","Seadub","7042$0.16%7.0k","57.15%","67","74","0.00%","2.7",""
"73","Deadstrike","6407$0.15%6.4k","31.08%","69","76","3.93%","2.4",""
"62","Parisshelton","6125$0.14%6.1k","-","-","60","0.00%","2.3",""
"88","Jiero","4216$0.10%4.2k","-","-","88","0.00%","1.6",""
"90","Sur","4210$0.10%4.2k","-","68","90","0.00%","1.6",""
"40","Furckinstein","3087$0.07%3.1k","12.33%","67","37","0.00%","1.2",""
"-","Spicyhot","2358$0.05%2.4k","12.50%","66","-","0.00%","0.9",""
"-","Irisviiel","1960$0.04%2.0k","-","-","-","0.00%","0.7",""
"55","Minuteman","351$0.01%351.0","75.28%","67","60","0.00%","0.1",""
