"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"57","Enders","51529$12.49%51.5k","31.04%","61","76","55.24%","116.3",""
"51","Milku","49732$12.05%49.7k","40.00%","60","70","69.58%","112.2",""
"58","Deyn","48315$11.71%48.3k","34.57%","60","80","45.15%","109.0",""
"27","Disk","43661$10.58%43.7k","45.57%","61","41","63.18%","98.5",""
"30","Necrohealya","41247$10.00%41.2k","50.90%","61","45","77.56%","93.1",""
"51","Nakur","37770$9.15%37.8k","46.53%","62","58","63.40%","85.2",""
"12","Phugoid","33359$8.09%33.4k","46.32%","-","13","46.33%","75.3",""
"14","Gonz","32095$7.78%32.1k","26.66%","63","12","25.26%","72.4",""
"23","Ghazan","29739$7.21%29.7k","32.86%","-","31","19.15%","67.1",""
"92","Grimseeker","3274$0.79%3.3k","-","64","92","0.00%","7.4",""
"70","Ultimecia","3112$0.75%3.1k","38.51%","64","68","15.45%","7.0",""
"65","Dietolive","2993$0.73%3.0k","-","60","68","1.09%","6.8",""
"83","Crox","2940$0.71%2.9k","11.58%","62","84","3.88%","6.6",""
"81","Kirilov","2937$0.71%2.9k","25.95%","63","81","6.66%","6.6",""
"81","Trii","2910$0.71%2.9k","8.78%","61","82","0.00%","6.6",""
"78","Hoebowjoe","2861$0.69%2.9k","-","-","78","1.00%","6.5",""
"81","Overbit","2761$0.67%2.8k","12.68%","60","82","1.41%","6.2",""
"65","Mexius","2755$0.67%2.8k","40.65%","60","68","18.37%","6.2",""
"78","Minuteman","2713$0.66%2.7k","-","58","83","0.00%","6.1",""
"78","Darunor","2661$0.64%2.7k","-","60","80","0.00%","6.0",""
"78","Dankling","2437$0.59%2.4k","-","55","86","0.00%","5.5",""
"73","Impervious","2354$0.57%2.4k","24.38%","58","75","21.04%","5.3",""
"68","Changó","1891$0.46%1.9k","35.72%","62","65","18.58%","4.3",""
"68","Flatzz","1838$0.45%1.8k","33.60%","61","66","28.28%","4.1",""
"68","Danty","1826$0.44%1.8k","43.66%","61","66","12.17%","4.1",""
"62","Muhhgi","1406$0.34%1.4k","-","60","61","0.00%","3.2",""
"31","Fossett","994$0.24%994.0","-","58","32","0.00%","2.2",""
"18","Furckinstein","213$0.05%213.0","35.84%","61","23","0.00%","0.5",""
"18","Akecheta","205$0.05%205.0","37.12%","60","26","0.00%","0.5",""
"37","Deadstrike","60$0.01%60.0","88.00%","59","38","0.00%","0.1",""
