"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"47","Jiero","80539$6.87%80.5k","66","33","64.96%","176.2",""
"56","Changó","73292$6.25%73.3k","62","53","50.63%","160.4",""
"54","Muhhgi","69381$5.92%69.4k","59","71","56.13%","151.8",""
"24","Deadstrike","63192$5.39%63.2k","59","55","49.96%","138.3",""
"47","Akecheta","62283$5.31%62.3k","60","56","51.85%","136.3",""
"22","Trii","62264$5.31%62.3k","61","39","53.94%","136.2",""
"38","Funk","59762$5.10%59.8k","-","45","64.79%","130.8",""
"41","Impervious","55083$4.70%55.1k","58","59","59.41%","120.5",""
"17","Kirilov","54214$4.62%54.2k","63","20","42.50%","118.6",""
"17","Minuteman","53976$4.60%54.0k","58","47","41.54%","118.1",""
"35","Ultimecia","51413$4.38%51.4k","64","29","65.88%","112.5",""
"36","Danty","50075$4.27%50.1k","61","37","59.42%","109.6",""
"35","Fossett","47179$4.02%47.2k","62","31","61.71%","103.2",""
"12","Overbit","46725$3.99%46.7k","60","27","34.49%","102.2",""
"18","Mexius","40465$3.45%40.5k","62","19","37.21%","88.5",""
"8","Chainguin","34961$2.98%35.0k","61","11","45.92%","76.5",""
"11","Hoebowjoe","34874$2.97%34.9k","61","13","59.41%","76.3",""
"16","Crox","32939$2.81%32.9k","60","50","62.63%","72.1",""
"19","Furckinstein","32782$2.80%32.8k","60","26","60.93%","71.7",""
"6","Ishney","31728$2.71%31.7k","-","19","46.33%","69.4",""
"20","Darunor","27848$2.38%27.8k","59","22","48.63%","60.9",""
"9","Bandakar","23820$2.03%23.8k","61","11","66.03%","52.1",""
"7","Dietolive","22350$1.91%22.4k","59","9","29.75%","48.9",""
"7","Cavander","22214$1.89%22.2k","62","7","45.27%","48.6",""
"95","Phugoid","11443$0.98%11.4k","61","96","43.63%","25.0",""
"-","Skylizard","3817$0.33%3.8k","54","-","4.13%","8.4",""
"80","Gonz","3425$0.29%3.4k","63","80","8.94%","7.5",""
"73","Necrohealya","2500$0.21%2.5k","-","75","10.60%","5.5",""
"-","Dxm","2463$0.21%2.5k","56","-","3.67%","5.4",""
"-","Shinigami","1821$0.16%1.8k","57","-","2.23%","4.0",""
"66","Derka","1758$0.15%1.8k","-","70","4.03%","3.8",""
"-","Juuil","1568$0.13%1.6k","60","-","2.12%","3.4",""
"-","Artaius","1449$0.12%1.4k","53","-","4.18%","3.2",""
"-","Deathcrush","1442$0.12%1.4k","56","-","0.00%","3.2",""
"-","Nyxkye","1403$0.12%1.4k","53","-","1.53%","3.1",""
"70","Nakur","1079$0.09%1.1k","62","74","7.00%","2.4",""
"-","Cyak","770$0.07%770.0","56","-","0.00%","1.7",""
"-","Ryanz","745$0.06%745.0","60","-","3.83%","1.6",""
"-","Oldpromdate","707$0.06%707.0","55","-","2.40%","1.5",""
"-","Bandler","624$0.05%624.0","58","-","0.00%","1.4",""
"-","Vecnuh","501$0.04%501.0","56","-","1.88%","1.1",""
"-","Thebe","496$0.04%496.0","60","-","0.00%","1.1",""
"-","Enusmcferet","350$0.03%350.0","58","-","0.00%","0.8",""
"-","Zokk","241$0.02%241.0","58","-","0.00%","0.5",""
"-","Spindle","215$0.02%215.0","55","-","0.00%","0.5",""
"-","Daves","213$0.02%213.0","59","-","0.00%","0.5",""
"-","Roachii","109$0.01%109.0","57","-","0.00%","0.2",""
