"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"56","Enders","76854$16.72%76.9k","27.27%","61","75","50.89%","123.9",""
"35","Disk","62371$13.57%62.4k","22.39%","61","51","49.06%","100.5",""
"35","Milku","57977$12.61%58.0k","29.63%","62","40","69.69%","93.5",""
"39","Ghazan","54568$11.87%54.6k","23.40%","60","58","32.24%","88.0",""
"19","Nakur","42625$9.27%42.6k","36.07%","62","22","43.24%","68.7",""
"11","Gonz","42276$9.20%42.3k","15.03%","63","9","17.52%","68.1",""
"8","Deyn","36679$7.98%36.7k","26.69%","62","8","19.59%","59.1",""
"99","Darunor","17781$3.87%17.8k","11.84%","-","99","8.81%","28.7",""
"97","Hoebowjoe","11364$2.47%11.4k","-","61","97","3.14%","18.3",""
"97","Crox","8742$1.90%8.7k","4.21%","61","97","2.82%","14.1",""
"95","Kirilov","8023$1.75%8.0k","9.69%","63","95","10.05%","12.9",""
"60","Ultimecia","5135$1.12%5.1k","29.47%","64","59","22.27%","8.3",""
"81","Trii","4669$1.02%4.7k","5.08%","61","82","1.93%","7.5",""
"78","Deadstrike","4088$0.89%4.1k","11.01%","59","80","2.10%","6.6",""
"78","Chainguin","4073$0.89%4.1k","10.17%","-","78","2.41%","6.6",""
"60","Mexius","3941$0.86%3.9k","26.92%","62","61","13.40%","6.4",""
"75","Furckinstein","3411$0.74%3.4k","9.71%","58","70","2.42%","5.5",""
"81","Jiero","2776$0.60%2.8k","-","66","80","0.00%","4.5",""
"56","Funk","2325$0.51%2.3k","-","61","55","0.00%","3.7",""
"36","Fossett","2099$0.46%2.1k","-","59","41","0.00%","3.4",""
"32","Mogs","1723$0.37%1.7k","-","-","32","0.00%","2.8",""
"32","Dietolive","1440$0.31%1.4k","-","60","34","0.00%","2.3",""
"51","Minuteman","1413$0.31%1.4k","-","58","56","0.00%","2.3",""
"45","Muhhgi","1403$0.31%1.4k","9.07%","59","47","7.31%","2.3",""
"45","Thicc","908$0.20%908.0","27.36%","58","48","0.64%","1.5",""
"34","Trike","836$0.18%836.0","37.61%","59","37","17.82%","1.3",""
"20","Akecheta","203$0.04%203.0","47.14%","60","21","0.00%","0.3",""
