"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"73","Wangcake","580124$12.23%580.1k","33.73%","70","72","72.89%","214.0",""
"48","Cubensis","550496$11.61%550.5k","27.66%","-","65","54.63%","203.1",""
"77","Eighchbar","532286$11.23%532.3k","29.99%","69","76","61.63%","196.4",""
"48","Yunghelga","509666$10.75%509.7k","15.68%","64","65","42.90%","188.0",""
"72","Milku","508764$10.73%508.8k","36.63%","-","66","67.03%","187.7",""
"56","Shelton","459869$9.70%459.9k","24.61%","66","66","54.29%","169.7",""
"50","Slecht","413290$8.72%413.3k","38.47%","67","56","70.05%","152.5",""
"61","Tauraheim","384974$8.12%385.0k","43.25%","-","72","58.95%","142.0",""
"43","Necrohealya","325409$6.86%325.4k","34.31%","70","40","41.10%","120.0",""
"59","Ghazan","194579$4.10%194.6k","16.64%","-","57","17.14%","71.8",""
"79","Flatzz","35710$0.75%35.7k","25.98%","-","79","50.14%","13.2",""
"91","Hoebowjoe","27833$0.59%27.8k","-","68","91","3.80%","10.3",""
"76","Jiera","24495$0.52%24.5k","18.21%","-","85","33.96%","9.0",""
"55","Buffymctank","17122$0.36%17.1k","10.39%","63","54","5.68%","6.3",""
"72","Changó","16719$0.35%16.7k","39.65%","-","69","51.04%","6.2",""
"67","Dohvyk","15677$0.33%15.7k","30.78%","66","65","49.17%","5.8",""
"80","Tumblebug","13814$0.29%13.8k","-","-","79","0.58%","5.1",""
"52","Guliveris","13531$0.29%13.5k","36.05%","-","52","31.79%","5.0",""
"88","Gaunz","12334$0.26%12.3k","-","67","88","0.00%","4.6",""
"56","Leetwreck","11812$0.25%11.8k","34.55%","-","53","41.24%","4.4",""
"77","Stankdik","11365$0.24%11.4k","14.53%","67","81","0.92%","4.2",""
"80","Dietolive","9850$0.21%9.9k","25.24%","70","79","0.00%","3.6",""
"76","Seadub","9732$0.21%9.7k","37.74%","71","76","3.09%","3.6",""
"97","Ramba","9046$0.19%9.0k","5.24%","58","97","0.75%","3.3",""
"74","Valara","8644$0.18%8.6k","-","68","72","0.70%","3.2",""
"70","Parisshelton","8491$0.18%8.5k","-","68","69","0.00%","3.1",""
"56","Bandakar","6950$0.15%7.0k","24.19%","-","52","5.97%","2.6",""
"65","Dayn","6095$0.13%6.1k","-","56","61","0.71%","2.2",""
"63","Deadstrike","5363$0.11%5.4k","37.22%","69","67","2.87%","2.0",""
"33","Duhd","4150$0.09%4.2k","-","64","28","0.00%","1.5",""
"87","Dankling","2948$0.06%2.9k","-","67","86","0.00%","1.1",""
"83","Ratshot","2886$0.06%2.9k","-","61","83","0.00%","1.1",""
"80","Ishney","2778$0.06%2.8k","-","71","81","0.00%","1.0",""
"55","Guki","1840$0.04%1.8k","-","69","56","0.00%","0.7",""
"-","Dirtÿ","1500$0.03%1.5k","-","71","-","0.00%","0.6",""
"37","Furckinstein","892$0.02%892.0","17.86%","68","34","0.94%","0.3",""
"-","Irisviiel","735$0.02%735.0","-","61","-","0.00%","0.3",""
