"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","82576$17.99%82.6k","46.75%","61","40.99%","244.1",""
"Furckinstein","33276$7.25%33.3k","43.87%","62","20.43%","98.3",""
"Gonz","24285$5.29%24.3k","10.06%","64","4.68%","71.8",""
"Impervious","17306$3.77%17.3k","31.72%","59","5.15%","51.1",""
"Flatzz","16841$3.67%16.8k","10.25%","62","1.44%","49.8",""
"Trike","16536$3.60%16.5k","4.41%","62","1.92%","48.9",""
"Tazdink","15490$3.38%15.5k","-","-","2.87%","45.8",""
"Enders","15309$3.34%15.3k","-","61","0.00%","45.2",""
"Deadstrike","12996$2.83%13.0k","9.18%","59","4.81%","38.4",""
"Akecheta","12815$2.79%12.8k","7.18%","61","1.68%","37.9",""
"Funk","12592$2.74%12.6k","8.72%","61","1.79%","37.2",""
"Danty","12261$2.67%12.3k","6.74%","62","5.76%","36.2",""
"Milku","11690$2.55%11.7k","-","65","1.36%","34.5",""
"Dietolive","11664$2.54%11.7k","8.70%","61","0.00%","34.5",""
"Deyn","10427$2.27%10.4k","5.77%","64","0.00%","30.8",""
"Grimmeat","9865$2.15%9.9k","17.74%","56","0.00%","29.2",""
"Ultimecia","9671$2.11%9.7k","18.59%","64","2.15%","28.6",""
"Muhhgi","9484$2.07%9.5k","31.83%","60","6.94%","28.0",""
"Dankling","9410$2.05%9.4k","5.47%","55","0.00%","27.8",""
"Necrohealya","9261$2.02%9.3k","5.41%","62","1.21%","27.4",""
"Fossett","8899$1.94%8.9k","22.57%","63","3.11%","26.3",""
"Thamir","8660$1.89%8.7k","-","-","1.09%","25.6",""
"Darunor","8369$1.82%8.4k","32.63%","60","3.24%","24.7",""
"Disk","8295$1.81%8.3k","-","64","0.00%","24.5",""
"Derka","8004$1.74%8.0k","-","64","0.84%","23.7",""
"Kirilov","7543$1.64%7.5k","1.69%","64","3.02%","22.3",""
"Pemberstone","7417$1.62%7.4k","7.45%","-","3.11%","21.9",""
"Overbit","7158$1.56%7.2k","4.93%","60","2.65%","21.2",""
"Saphex","6992$1.52%7.0k","3.02%","60","2.41%","20.7",""
"Nakur","6898$1.50%6.9k","-","64","2.87%","20.4",""
"Mexius","5561$1.21%5.6k","20.16%","63","0.00%","16.4",""
"Minuteman","3934$0.86%3.9k","23.77%","58","0.00%","11.6",""
"Trii","3849$0.84%3.8k","2.83%","63","0.00%","11.4",""
"Cavander","3794$0.83%3.8k","-","62","0.00%","11.2",""
"Melven","3747$0.82%3.7k","12.31%","60","0.00%","11.1",""
"Claudiu","1683$0.37%1.7k","-","59","0.00%","5.0",""
"Hoebowjoe","1644$0.36%1.6k","-","-","0.00%","4.9",""
"Grimseeker","1601$0.35%1.6k","24.98%","65","0.00%","4.7",""
"Phugoid","1084$0.24%1.1k","49.98%","64","0.00%","3.2",""
