"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Bandakar","714642$19.75%714.6k","49.03%","-","57.27%","188.9",""
"Crox","590678$16.32%590.7k","57.38%","-","57.65%","156.1",""
"Dohvyk","281236$7.77%281.2k","20.56%","-","26.94%","74.3",""
"Changó","272062$7.52%272.1k","28.52%","-","25.68%","71.9",""
"Akecheta","269632$7.45%269.6k","22.54%","-","25.33%","71.3",""
"Furckinstein","240848$6.66%240.8k","26.53%","68","22.72%","63.7",""
"Slecht","132452$3.66%132.5k","12.46%","-","12.87%","35.0",""
"Seadub","132160$3.65%132.2k","10.80%","71","14.55%","34.9",""
"Gaunz","122234$3.38%122.2k","10.56%","66","12.09%","32.3",""
"Kirilov","107457$2.97%107.5k","14.53%","71","12.98%","28.4",""
"Tauraheim","96718$2.67%96.7k","12.26%","-","9.19%","25.6",""
"Jiero","89982$2.49%90.0k","22.41%","-","7.88%","23.8",""
"Hoebowjoe","88966$2.46%89.0k","11.89%","-","12.47%","23.5",""
"Dirtÿ","85665$2.37%85.7k","10.01%","-","12.00%","22.6",""
"Deyn","83803$2.32%83.8k","18.06%","69","6.74%","22.1",""
"Kasako","77927$2.15%77.9k","9.72%","52","6.32%","20.6",""
"Trolleficent","68656$1.90%68.7k","6.67%","-","8.74%","18.1",""
"Eighchbar","66407$1.84%66.4k","15.24%","69","11.28%","17.6",""
"Pythagorean","52032$1.44%52.0k","6.13%","70","9.16%","13.8",""
"Enders","43616$1.21%43.6k","15.46%","-","7.01%","11.5",""
"Stonebot","1685$0.05%1.7k","-","47","0.00%","0.4",""
