"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"55","Deyn","698758$12.78%698.8k","29.80%","63","51","56.59%","194.6",""
"67","Milku","621869$11.38%621.9k","37.45%","58","86","81.87%","173.2",""
"67","Disk","590949$10.81%590.9k","26.04%","-","67","60.69%","164.6",""
"37","Gonz","519932$9.51%519.9k","21.19%","-","33","40.02%","144.8",""
"59","Nakur","519223$9.50%519.2k","43.40%","-","60","69.42%","144.6",""
"40","Phugoid","516691$9.45%516.7k","32.98%","-","45","67.19%","143.9",""
"34","Ghazan","508111$9.30%508.1k","23.62%","-","39","44.71%","141.5",""
"45","Enders","490194$8.97%490.2k","32.66%","61","59","61.62%","136.5",""
"19","Tazdink","342285$6.26%342.3k","26.50%","53","47","39.13%","95.3",""
"15","Necrohealya","128596$2.35%128.6k","39.57%","57","29","21.85%","35.8",""
"21","Diip","127359$2.33%127.4k","43.91%","55","38","16.91%","35.5",""
"72","Hoebowjoe","27533$0.50%27.5k","-","-","71","1.60%","7.7",""
"74","Grimmeat","20872$0.38%20.9k","1.65%","56","73","0.64%","5.8",""
"25","Darunor","20850$0.38%20.9k","45.99%","-","28","4.00%","5.8",""
"63","Akecheta","20581$0.38%20.6k","32.09%","-","61","34.26%","5.7",""
"54","Mogs","19946$0.36%19.9k","-","-","53","1.21%","5.6",""
"76","Ultimecia","18967$0.35%19.0k","45.79%","64","74","0.52%","5.3",""
"66","Impervious","18566$0.34%18.6k","24.11%","-","71","30.26%","5.2",""
"57","Funk","18502$0.34%18.5k","-","60","55","0.00%","5.2",""
"53","Changó","17654$0.32%17.7k","41.36%","-","50","34.42%","4.9",""
"81","Saphex","16881$0.31%16.9k","-","56","80","0.00%","4.7",""
"82","Mexius","16692$0.31%16.7k","7.64%","-","82","0.00%","4.6",""
"54","Trike","16447$0.30%16.4k","25.51%","-","52","35.77%","4.6",""
"49","Muhhgi","16036$0.29%16.0k","28.10%","60","48","39.25%","4.5",""
"70","Trii","15934$0.29%15.9k","16.76%","62","71","2.51%","4.4",""
"74","Dietolive","15167$0.28%15.2k","29.20%","-","75","40.97%","4.2",""
"64","Kirilov","13148$0.24%13.1k","30.47%","64","63","4.69%","3.7",""
"63","Cavander","12787$0.23%12.8k","59.64%","62","62","0.00%","3.6",""
"68","Overbit","11565$0.21%11.6k","33.43%","60","71","4.36%","3.2",""
"42","Flatzz","11160$0.20%11.2k","18.28%","62","38","26.29%","3.1",""
"41","Furckinstein","10390$0.19%10.4k","17.55%","61","41","1.00%","2.9",""
"74","Jiero","9617$0.18%9.6k","-","66","72","0.71%","2.7",""
"58","Crox","9416$0.17%9.4k","20.57%","-","60","1.71%","2.6",""
"54","Fossett","9069$0.17%9.1k","-","62","53","0.85%","2.5",""
"40","Bandakar","7194$0.13%7.2k","12.96%","-","38","0.55%","2.0",""
"66","Deadstrike","7001$0.13%7.0k","3.45%","-","73","0.00%","1.9",""
"58","Thamir","5428$0.10%5.4k","12.14%","-","70","0.00%","1.5",""
"68","Grimseeker","5361$0.10%5.4k","-","64","68","0.00%","1.5",""
"38","Melven","3961$0.07%4.0k","-","60","35","0.00%","1.1",""
"39","Ishney","2433$0.04%2.4k","-","-","39","0.00%","0.7",""
"53","Chainguin","2341$0.04%2.3k","-","-","53","0.00%","0.7",""
