"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"91","Idunrunnin","790190$9.98%790.2k","-","87","54.78%","410.8",""
"81","Dohvyk","712829$9.01%712.8k","70","76","68.38%","370.6",""
"65","Jiera","611290$7.72%611.3k","65","77","70.43%","317.8",""
"60","Renke","599087$7.57%599.1k","65","72","67.87%","311.5",""
"77","Irisviiel","596084$7.53%596.1k","76","56","65.21%","309.9",""
"60","Johnnylol","579501$7.32%579.5k","68","68","66.29%","301.3",""
"74","Betrayal","555004$7.01%555.0k","70","68","48.35%","288.5",""
"81","Hbar","505201$6.38%505.2k","-","90","63.67%","262.6",""
"74","Guliveris","475984$6.01%476.0k","-","72","74.78%","247.5",""
"39","Kagomi","447932$5.66%447.9k","68","42","56.66%","232.9",""
"25","Irongunt","423414$5.35%423.4k","62","47","70.17%","220.1",""
"36","Locchiato","397840$5.03%397.8k","-","31","42.21%","206.8",""
"41","Jrome","394047$4.98%394.0k","67","39","38.49%","204.9",""
"38","Mortifier","326365$4.12%326.4k","-","29","70.04%","169.7",""
"30","Thunderkek","299933$3.79%299.9k","59","53*","54.70%","155.9",""
"88","Dieto","142579$1.80%142.6k","-","91","18.35%","74.1",""
"87","Kasako","48257$0.61%48.3k","67","87","23.05%","25.1",""
"61","Quesogrande","3821$0.05%3.8k","68","59","0.77%","2.0",""
"61","Gnarlsbarkly","2433$0.03%2.4k","48","-","0.00%","1.3",""
"59","Vannawight","2371$0.03%2.4k","70","59","0.82%","1.2",""
