"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","59022$19.51%59.0k","48.09%","-","47.34%","165.8",""
"Guliveris","41443$13.70%41.4k","29.43%","66","29.38%","116.4",""
"Bandakar","35730$11.81%35.7k","20.72%","71","20.51%","100.4",""
"Sur","30106$9.95%30.1k","30.82%","68","15.82%","84.6",""
"Furckinstein","10184$3.37%10.2k","9.64%","-","11.15%","28.6",""
"Duhd","9985$3.30%10.0k","7.76%","64","3.17%","28.1",""
"Gaunz","7739$2.56%7.7k","6.05%","66","2.00%","21.7",""
"Milku","7476$2.47%7.5k","16.35%","71","2.38%","21.0",""
"Flatzz","6983$2.31%7.0k","15.58%","65","5.47%","19.6",""
"Buffymctank","6623$2.19%6.6k","11.81%","64","4.70%","18.6",""
"Pemberstone","6309$2.09%6.3k","49.45%","-","7.06%","17.7",""
"Dankling","6156$2.03%6.2k","5.89%","66","2.08%","17.3",""
"Ghazan","5473$1.81%5.5k","36.35%","71","1.01%","15.4",""
"Pythagorean","5244$1.73%5.2k","22.20%","70","2.00%","14.7",""
"Dohvyk","5078$1.68%5.1k","12.25%","64","2.83%","14.3",""
"Minuteman","5008$1.66%5.0k","10.73%","67","2.83%","14.1",""
"Tumblebug","4542$1.50%4.5k","20.65%","66","0.00%","12.8",""
"Changó","4298$1.42%4.3k","24.00%","68","3.19%","12.1",""
"Dietolive","4062$1.34%4.1k","1.98%","64","0.00%","11.4",""
"Parisshelton","3996$1.32%4.0k","7.93%","68","3.98%","11.2",""
"Dirtÿ","3899$1.29%3.9k","27.24%","71","2.00%","11.0",""
"Slecht","3896$1.29%3.9k","25.49%","67","0.92%","10.9",""
"Fossett","3801$1.26%3.8k","1.96%","-","0.58%","10.7",""
"Stankdik","3351$1.11%3.4k","14.97%","67","1.85%","9.4",""
"Deadstrike","3250$1.07%3.3k","19.21%","69","0.90%","9.1",""
"Cubensis","3071$1.01%3.1k","-","63","0.00%","8.6",""
"Wangcake","2071$0.68%2.1k","-","-","0.00%","5.8",""
"Eighchbar","2023$0.67%2.0k","37.48%","69","3.99%","5.7",""
"Deyn","1851$0.61%1.9k","45.03%","69","0.68%","5.2",""
"Valara","1741$0.58%1.7k","-","68","0.00%","4.9",""
"Shelton","1598$0.53%1.6k","-","66","0.00%","4.5",""
"Yunghelga","1568$0.52%1.6k","33.11%","64","0.00%","4.4",""
"Jiero","1477$0.49%1.5k","-","-","0.00%","4.1",""
"Vannawight","1440$0.48%1.4k","-","61","0.00%","4.0",""
"Ishney","896$0.30%896.0","42.67%","-","1.59%","2.5",""
"Ratshot","623$0.21%623.0","-","61","0.00%","1.8",""
"Irisviiel","556$0.18%556.0","34.20%","61","1.14%","1.6",""
