"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"19","Flatzz","866141$4.59%866.1k","-","24","64.67%","253.3",""
"19","Mogs","861180$4.57%861.2k","63","46","51.12%","251.9",""
"13","Chingu","823314$4.37%823.3k","-","36","53.06%","240.8",""
"14","Deadstrike","774777$4.11%774.8k","65","27","57.15%","226.6",""
"11","Trii","762126$4.04%762.1k","-","13","53.71%","222.9",""
"21","Akecheta","760792$4.03%760.8k","-","21","59.82%","222.5",""
"20","Minuteman","746944$3.96%746.9k","63","42","49.69%","218.5",""
"21","Impervious","737551$3.91%737.6k","-","25","54.44%","215.7",""
"10","Overbit","727334$3.86%727.3k","-","31","54.68%","212.7",""
"9","Dankling","717531$3.80%717.5k","61","31","53.22%","209.9",""
"9","Slybanana","712589$3.78%712.6k","62","27","59.71%","208.4",""
"13","Hoebowjoe","706462$3.75%706.5k","-","22","45.45%","206.6",""
"26","Jiero","700614$3.72%700.6k","-","34","53.45%","204.9",""
"8","Chainguin","686238$3.64%686.2k","-","13","53.02%","200.7",""
"17","Muhhgi","670037$3.55%670.0k","-","16","53.49%","196.0",""
"28","Ultimecia","669008$3.55%669.0k","-","38","50.31%","195.7",""
"9","Kirilov","661563$3.51%661.6k","-","20","48.94%","193.5",""
"9","Dirtÿ","650809$3.45%650.8k","-","18","47.35%","190.4",""
"17","Valara","644315$3.42%644.3k","-","32","45.96%","188.5",""
"19","Changó","628362$3.33%628.4k","-","16","58.24%","183.8",""
"9","Lachupacabra","609157$3.23%609.2k","-","30","44.89%","178.2",""
"24","Cavander","605468$3.21%605.5k","65","40","44.25%","177.1",""
"7","Claudiu","574611$3.05%574.6k","65","10","40.77%","168.1",""
"43","Bandakar","519270$2.75%519.3k","-","37","70.95%","151.9",""
"14","Dietolive","519104$2.75%519.1k","63","32","44.22%","151.8",""
"6","Ishney","393270$2.09%393.3k","-","9","49.94%","115.0",""
"19","Fossett","377549$2.00%377.5k","-","34","42.95%","110.4",""
"26","Crox","359507$1.91%359.5k","-","28","63.30%","105.1",""
"6","Danty","267475$1.42%267.5k","-","6","61.35%","78.2",""
"-","Tazdink","34480$0.18%34.5k","-","-","1.98%","10.1",""
"96","Ghazan","33164$0.18%33.2k","-","96","6.74%","9.7",""
"85","Pythagorean","19392$0.10%19.4k","65","88","1.67%","5.7",""
"96","Gonz","9738$0.05%9.7k","-","96","2.91%","2.8",""
"99","Deyn","7714$0.04%7.7k","-","99","0.00%","2.3",""
"-","Slecht","5460$0.03%5.5k","-","-","0.50%","1.6",""
"85","Enders","4780$0.03%4.8k","66","87","0.00%","1.4",""
"-","Takanu","3900$0.02%3.9k","-","-","0.00%","1.1",""
"-","Wangcake","3815$0.02%3.8k","-","-","0.99%","1.1",""
"-","Eighchbar","2863$0.02%2.9k","-","-","1.10%","0.8",""
"-","Milku","569$0.00%569.0","68","-","0.00%","0.2",""
