"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"53","Akecheta","1145170$6.11%1.15m","-","60","56.14%","269.2",""
"26","Jáx","903074$4.82%903.1k","-","41","51.24%","212.3",""
"33","Dryrun","873924$4.66%873.9k","-","50","51.80%","205.5",""
"29","Furckinstein","867328$4.63%867.3k","-","30","47.74%","203.9",""
"32","Changó","838079$4.47%838.1k","-","38","51.44%","197.0",""
"26","Kirilov","812146$4.33%812.1k","74","28","43.89%","190.9",""
"15","Dohvyk","786445$4.20%786.4k","-","18","46.85%","184.9",""
"60","Jiero","759780$4.06%759.8k","-","61","52.52%","178.6",""
"32","Duhd","737491$3.94%737.5k","70","45","38.85%","173.4",""
"36","Irisviiel","710441$3.79%710.4k","-","41","47.69%","167.0",""
"24","Parisshelton","696372$3.72%696.4k","70","32","42.85%","163.7",""
"20","Flatzz","667360$3.56%667.4k","-","30","48.31%","156.9",""
"10","Deadstrike","661945$3.53%661.9k","69","15","40.99%","155.6",""
"34","Ultimecia","636511$3.40%636.5k","-","36","36.28%","149.6",""
"15","Stankdik","635168$3.39%635.2k","72","17","37.71%","149.3",""
"21","Dietolive","584038$3.12%584.0k","-","24","29.90%","137.3",""
"15","Dïrty","578447$3.09%578.4k","-","25","49.25%","136.0",""
"16","Synergy","573913$3.06%573.9k","67","28","33.56%","134.9",""
"14","Decimous","569554$3.04%569.6k","-","26","48.20%","133.9",""
"32","Gaunz","565284$3.02%565.3k","-","38","30.60%","132.9",""
"17","Urumettu","564948$3.02%564.9k","-","23","34.94%","132.8",""
"11","Melven","519813$2.77%519.8k","61","25","41.68%","122.2",""
"40","Bandakar","516224$2.76%516.2k","-","49","45.17%","121.4",""
"29","Seadub","498270$2.66%498.3k","-","33","32.37%","117.1",""
"60","Pemberstone","493756$2.64%493.8k","-","66","44.42%","116.1",""
"15","Ishney","487150$2.60%487.2k","-","15","36.34%","114.5",""
"43","Crox","470678$2.51%470.7k","-","45","51.26%","110.7",""
"36","Guliveris","435700$2.33%435.7k","-","39","44.64%","102.4",""
"97","Necrohealya","40525$0.22%40.5k","70","97","2.66%","9.5",""
"96","Ghazan","35107$0.19%35.1k","-","96","2.27%","8.3",""
"97","Enders","20563$0.11%20.6k","-","97","1.57%","4.8",""
"92","Pythagorean","14786$0.08%14.8k","71","92","1.76%","3.5",""
"95","Tazdink","13152$0.07%13.2k","-","96","1.22%","3.1",""
"92","Wangcake","9764$0.05%9.8k","72","92","0.82%","2.3",""
"94","Milku","5997$0.03%6.0k","72","95","0.00%","1.4",""
"99","Eighchbar","4177$0.02%4.2k","-","99","1.41%","1.0",""
"94","Deyn","1591$0.01%1.6k","70","95","0.00%","0.4",""
"94","Slecht","868$0.00%868.0","70","95","0.00%","0.2",""
"95","Tauraheim","670$0.00%670.0","-","95","0.65%","0.2",""
