"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","855679$16.83%855.7k","53.70%","-","69.98%","306.9",""
"Bandakar","447741$8.81%447.7k","47.59%","-","41.27%","160.6",""
"Darunor","435613$8.57%435.6k","45.96%","-","40.51%","156.2",""
"Danty","260283$5.12%260.3k","26.77%","-","22.52%","93.4",""
"Changó","233147$4.59%233.1k","22.67%","-","22.60%","83.6",""
"Akecheta","160666$3.16%160.7k","6.39%","63","17.39%","57.6",""
"Muhhgi","158882$3.13%158.9k","15.26%","64","18.13%","57.0",""
"Slybanana","152956$3.01%153.0k","8.19%","61","16.30%","54.9",""
"Deadstrike","146393$2.88%146.4k","8.11%","-","20.51%","52.5",""
"Dankling","139171$2.74%139.2k","4.84%","-","16.23%","49.9",""
"Pemberstone","136757$2.69%136.8k","27.77%","-","14.30%","49.0",""
"Overbit","134537$2.65%134.5k","8.97%","62","16.22%","48.3",""
"Chingu","127464$2.51%127.5k","9.83%","-","15.76%","45.7",""
"Trii","124861$2.46%124.9k","11.62%","67","14.70%","44.8",""
"Ultimecia","119498$2.35%119.5k","8.73%","65","7.83%","42.9",""
"Chainguin","116184$2.29%116.2k","9.38%","66","15.11%","41.7",""
"Saphex","79434$1.56%79.4k","11.10%","63","5.77%","28.5",""
"Kirilov","78449$1.54%78.4k","7.93%","65","9.03%","28.1",""
"Mexius","72948$1.44%72.9k","9.33%","-","4.98%","26.2",""
"Jiero","68933$1.36%68.9k","13.01%","66","2.56%","24.7",""
"Pythagorean","66947$1.32%66.9k","7.93%","65","3.53%","24.0",""
"Tazdink","62226$1.22%62.2k","8.69%","-","3.13%","22.3",""
"Ghazan","61076$1.20%61.1k","12.55%","64","3.09%","21.9",""
"Fossett","59929$1.18%59.9k","9.24%","64","4.70%","21.5",""
"Cavander","58758$1.16%58.8k","11.91%","65","4.31%","21.1",""
"Mogs","54992$1.08%55.0k","13.72%","-","2.68%","19.7",""
"Milku","52865$1.04%52.9k","6.39%","67","3.72%","19.0",""
"Eighchbar","51658$1.02%51.7k","12.53%","61","2.29%","18.5",""
"Claudiu","51378$1.01%51.4k","7.44%","-","2.21%","18.4",""
"Necrohealya","49032$0.96%49.0k","7.88%","67","2.52%","17.6",""
"Urumettu","46192$0.91%46.2k","4.08%","56","4.20%","16.6",""
"Peareyeuh","45430$0.89%45.4k","12.38%","-","2.50%","16.3",""
"Ahuntard","44987$0.89%45.0k","4.86%","61","4.85%","16.1",""
"Lachupacabra","44755$0.88%44.8k","6.77%","60","1.29%","16.1",""
"Slecht","43492$0.86%43.5k","5.31%","57","1.14%","15.6",""
"Gonz","42565$0.84%42.6k","12.44%","66","2.81%","15.3",""
"Drhealsgood","41751$0.82%41.8k","6.70%","58","2.96%","15.0",""
"Hoebowjoe","40679$0.80%40.7k","12.94%","64","0.79%","14.6",""
"Dirtypantiz","39071$0.77%39.1k","11.31%","63","4.66%","14.0",""
"Gaunz","38124$0.75%38.1k","3.27%","61","2.20%","13.7",""
"Valara","37384$0.74%37.4k","11.09%","64","1.91%","13.4",""
