"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"83","Parisshelton","1270596$5.31%1.27m","-","73","55.85%","425.1",""
"70","Nimda","1123524$4.70%1.12m","-","77","62.58%","375.9",""
"84","Duhd","1106083$4.62%1.11m","-","80","44.98%","370.1",""
"59","Dohvyk","1095058$4.58%1.10m","-","56","72.74%","366.4",""
"60","Trennard","1063075$4.44%1.06m","-","58","70.45%","355.7",""
"47","Nazthar","1047702$4.38%1.05m","-","41","71.88%","350.6",""
"75","Idunrunnin","989283$4.14%989.3k","-","77","56.76%","331.0",""
"50","Synergy","986908$4.13%986.9k","-","44","62.77%","330.2",""
"53","Seraf","944507$3.95%944.5k","-","55","50.78%","316.0",""
"39","Bigdrip","901418$3.77%901.4k","-","45","64.63%","301.6",""
"68","Oyster","871669$3.64%871.7k","-","66","53.21%","291.7",""
"30","Melven","853097$3.57%853.1k","-","43","49.29%","285.4",""
"38","Renke","819326$3.43%819.3k","65","53","64.60%","274.1",""
"43","Deadstrike","806061$3.37%806.1k","-","41","56.49%","269.7",""
"66","Irisviiel","779558$3.26%779.6k","-","50","61.48%","260.8",""
"23","Youss","778800$3.26%778.8k","-","27","65.73%","260.6",""
"73","Yuroto","757581$3.17%757.6k","70","81","59.80%","253.5",""
"49","Darkoutlaw","734912$3.07%734.9k","-","58","57.45%","245.9",""
"46","Seadub","725471$3.03%725.5k","-","45","49.82%","242.7",""
"61","Guliveris","712960$2.98%713.0k","-","64","74.50%","238.6",""
"55","Faygin","661883$2.77%661.9k","-","66","42.00%","221.5",""
"83","Pemberstone","617719$2.58%617.7k","-","77","74.25%","206.7",""
"24","Droma","613261$2.56%613.3k","-","68","53.54%","205.2",""
"28","Ishney","593556$2.48%593.6k","-","18","57.32%","198.6",""
"26","Dieto","583661$2.44%583.7k","64","58","52.80%","195.3",""
"35","Smogg","535741$2.24%535.7k","-","37","50.68%","179.3",""
"22","Thoominn","499385$2.09%499.4k","-","48","60.44%","167.1",""
"26","Mortifier","453594$1.90%453.6k","-","26","65.45%","151.8",""
"18","Tiencheng","444329$1.86%444.3k","-","16","43.74%","148.7",""
"44","Seditious","415048$1.74%415.0k","-","42","55.44%","138.9",""
"4","Hamhocks","46325$0.19%46.3k","70","4","1.62%","15.5",""
"87","Ghazan","44562$0.19%44.6k","-","87","8.39%","14.9",""
"87","Pythagorean","22997$0.10%23.0k","-","86","0.76%","7.7",""
"49","Slecht","9434$0.04%9.4k","71","47","1.88%","3.2",""
"-","Gonz","6646$0.03%6.6k","69","-","0.00%","2.2",""
"82","Tauraheim","3680$0.02%3.7k","73","81","1.35%","1.2",""
"68","Eighchbar","1936$0.01%1.9k","-","70","0.60%","0.6",""
