"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"26","Grimseeker","187043$8.48%187.0k","64","31","62.06%","194.2",""
"53","Ultimecia","173543$7.87%173.5k","64","47","64.11%","180.2",""
"50","Flatzz","139640$6.33%139.6k","62","47","54.29%","145.0",""
"23","Dankling","135518$6.15%135.5k","56","63","68.48%","140.7",""
"24","Minuteman","134739$6.11%134.7k","61","41","48.03%","139.9",""
"49","Trike","133513$6.06%133.5k","-","45","46.38%","138.6",""
"24","Mexius","127419$5.78%127.4k","64","19","54.30%","132.3",""
"28","Fossett","125876$5.71%125.9k","63","22","61.32%","130.7",""
"27","Deadstrike","122326$5.55%122.3k","61","47","56.25%","127.0",""
"14","Overbit","114334$5.19%114.3k","61","24","64.26%","118.7",""
"26","Furckinstein","97866$4.44%97.9k","63","27","73.12%","101.6",""
"6","Ishney","95298$4.32%95.3k","58","13","44.62%","99.0",""
"10","Valara","93969$4.26%94.0k","60","13","40.95%","97.6",""
"15","Cavander","87800$3.98%87.8k","62","16","42.82%","91.2",""
"34","Danty","87464$3.97%87.5k","64","36","57.31%","90.8",""
"8","Trii","85580$3.88%85.6k","63","8","37.52%","88.9",""
"6","Dirtypantiz","68946$3.13%68.9k","53","19","48.15%","71.6",""
"15","Akecheta","68003$3.08%68.0k","62","13","32.79%","70.6",""
"9","Darunor","49411$2.24%49.4k","-","9","40.09%","51.3",""
"96","Gonz","29359$1.33%29.4k","65","95","14.42%","30.5",""
"95","Phugoid","28037$1.27%28.0k","64","95","38.75%","29.1",""
"87","Nakur","14079$0.64%14.1k","-","87","17.90%","14.6",""
"51","Ghazan","1913$0.09%1.9k","63","51","0.76%","2.0",""
"48","Enders","1753$0.08%1.8k","63","49","2.14%","1.8",""
"51","Marmoose","1401$0.06%1.4k","58","57","1.87%","1.5",""
