"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Bandakar","56962$20.87%57.0k","49.65%","-","41.38%","197.4",""
"Darunor","53186$19.48%53.2k","46.51%","60","32.67%","184.3",""
"Muhhgi","12088$4.43%12.1k","13.19%","61","3.07%","41.9",""
"Flatzz","10301$3.77%10.3k","1.83%","62","2.37%","35.7",""
"Danty","9326$3.42%9.3k","17.43%","64","8.84%","32.3",""
"Changó","8917$3.27%8.9k","9.78%","64","3.08%","30.9",""
"Akecheta","8405$3.08%8.4k","1.30%","61","0.00%","29.1",""
"Deadstrike","7837$2.87%7.8k","6.31%","61","0.55%","27.2",""
"Minuteman","7163$2.62%7.2k","9.71%","61","3.08%","24.8",""
"Fossett","7083$2.59%7.1k","2.53%","63","0.00%","24.5",""
"Overbit","6593$2.42%6.6k","11.23%","61","3.91%","22.8",""
"Pythagorean","6347$2.32%6.3k","-","61","0.00%","22.0",""
"Deyn","6066$2.22%6.1k","-","63","0.00%","21.0",""
"Dankling","5995$2.20%6.0k","8.71%","56","0.00%","20.8",""
"Furckinstein","5827$2.13%5.8k","16.24%","62","6.17%","20.2",""
"Pemberstone","5622$2.06%5.6k","10.69%","-","1.54%","19.5",""
"Trii","4880$1.79%4.9k","-","63","0.00%","16.9",""
"Mexius","4690$1.72%4.7k","-","63","0.00%","16.3",""
"Eighchbar","4616$1.69%4.6k","-","55","0.00%","16.0",""
"Trike","4390$1.61%4.4k","13.58%","62","3.77%","15.2",""
"Necrohealya","4250$1.56%4.3k","4.52%","62","1.68%","14.7",""
"Grimmeat","4218$1.55%4.2k","-","58","0.00%","14.6",""
"Tazdink","4192$1.54%4.2k","-","56","0.00%","14.5",""
"Chainguin","3230$1.18%3.2k","-","63","0.00%","11.2",""
"Cavander","3179$1.16%3.2k","14.89%","62","0.00%","11.0",""
"Melven","2842$1.04%2.8k","-","61","0.00%","9.8",""
"Kirilov","2814$1.03%2.8k","-","65","0.00%","9.8",""
"Derka","2451$0.90%2.5k","2.70%","64","0.54%","8.5",""
"Milku","2329$0.85%2.3k","11.71%","65","1.41%","8.1",""
"Phugoid","2224$0.81%2.2k","25.39%","64","1.28%","7.7",""
"Ultimecia","1824$0.67%1.8k","-","64","0.00%","6.3",""
"Hii","1678$0.61%1.7k","-","60","0.00%","5.8",""
"Saphex","1469$0.54%1.5k","-","60","0.00%","5.1",""
