"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"80","Dohvyk","1331383$6.33%1.33m","-","78","80.43%","576.9",""
"80","Akecheta","1290045$6.13%1.29m","-","80","82.90%","559.0",""
"77","Furckinstein","1133579$5.39%1.13m","68","74","74.41%","491.2",""
"84","Parisshelton","945242$4.49%945.2k","-","85","62.95%","409.6",""
"74","Synergy","858696$4.08%858.7k","-","82","60.52%","372.1",""
"76","Stankdik","858555$4.08%858.6k","-","76","61.09%","372.0",""
"90","Duhd","845138$4.02%845.1k","70","89","55.87%","366.2",""
"55","Flatzz","803663$3.82%803.7k","-","52","71.19%","348.2",""
"83","Bandakar","783253$3.72%783.3k","-","79","84.98%","339.4",""
"53","Jáx","773480$3.68%773.5k","-","69","65.68%","335.1",""
"91","Jiero","748312$3.56%748.3k","-","87","67.18%","324.2",""
"38","Dïrty","709815$3.37%709.8k","63","46","79.72%","307.6",""
"48","Deadstrike","699951$3.33%700.0k","-","55","67.23%","303.3",""
"74","Ultimecia","696088$3.31%696.1k","-","67","55.25%","301.6",""
"47","Kirilov","683387$3.25%683.4k","-","36","62.08%","296.1",""
"75","Gaunz","683161$3.25%683.2k","-","81","61.56%","296.0",""
"72","Dietolive","676914$3.22%676.9k","-","68","64.82%","293.3",""
"68","Irisviiel","676858$3.22%676.9k","-","63","66.25%","293.3",""
"57","Guliveris","667893$3.18%667.9k","-","50","74.38%","289.4",""
"43","Decimous","642180$3.05%642.2k","-","42","72.80%","278.3",""
"37","Dryrun","639900$3.04%639.9k","-","45","62.25%","277.3",""
"92","Pemberstone","609021$2.90%609.0k","-","92","71.30%","263.9",""
"28","Tumblebug","569463$2.71%569.5k","-","22","51.62%","246.7",""
"75","Crox","557688$2.65%557.7k","-","69","74.99%","241.6",""
"56","Ishney","549159$2.61%549.2k","73","48","68.60%","238.0",""
"34","Seadub","444924$2.12%444.9k","-","31","52.65%","192.8",""
"19","Joepesci","437314$2.08%437.3k","64","41","49.65%","189.5",""
"53","Fossett","423650$2.01%423.7k","-","47","49.75%","183.6",""
"96","Ghazan","177701$0.84%177.7k","-","96","18.60%","77.0",""
"80","Tazdink","27828$0.13%27.8k","-","80","2.15%","12.1",""
"95","Slecht","27633$0.13%27.6k","69","95","5.78%","12.0",""
"95","Necrohealya","24272$0.12%24.3k","71","94","6.17%","10.5",""
"87","Wangcake","14515$0.07%14.5k","71","87","0.00%","6.3",""
"91","Deyn","12260$0.06%12.3k","70","91","0.00%","5.3",""
"-","Enders","8512$0.04%8.5k","-","-","0.60%","3.7",""
"-","Drgupta","1838$0.01%1.8k","62","-","0.70%","0.8",""
"-","Eighchbar","669$0.00%669.0","-","-","0.52%","0.3",""
"-","Tauraheim","77$0.00%77.0","71","-","0.00%","0.0",""
