"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"95","Enders","49001$16.03%49.0k","24.80%","64","96","83.99%","195.3",""
"95","Milku","42984$14.06%43.0k","40.59%","66","94","97.07%","171.3",""
"81","Eighchbar","37540$12.28%37.5k","43.08%","59","95","87.29%","149.6",""
"45","Phugoid","37137$12.15%37.1k","36.81%","66","34","60.44%","148.0",""
"36","Deyn","31395$10.27%31.4k","25.73%","64","30","28.41%","125.1",""
"34","Pythagorean","28290$9.25%28.3k","48.79%","63","39","58.33%","112.8",""
"36","Tazdink","21950$7.18%22.0k","20.50%","63","33","33.44%","87.5",""
"41","Slecht","21125$6.91%21.1k","42.36%","56","75","79.91%","84.2",""
"96","Ghazan","13221$4.32%13.2k","7.18%","59","97","9.19%","52.7",""
"96","Danty","3316$1.08%3.3k","20.50%","61","96","36.59%","13.2",""
"87","Hoebowjoe","3063$1.00%3.1k","21.44%","64","87","1.59%","12.2",""
"-","Nakur","2591$0.85%2.6k","-","65","-","0.00%","10.3",""
"82","Dietolive","2515$0.82%2.5k","26.89%","-","82","2.79%","10.0",""
"84","Dirtypantiz","2000$0.65%2.0k","-","60","84","2.79%","8.0",""
"81","Changó","1632$0.53%1.6k","29.41%","65","82","28.25%","6.5",""
"68","Valara","1274$0.42%1.3k","-","64","68","0.00%","5.1",""
"74","Overbit","1212$0.40%1.2k","11.40%","61","74","1.73%","4.8",""
"45","Fossett","1029$0.34%1.0k","-","64","44","2.43%","4.1",""
"44","Ultimecia","886$0.29%886.0","66.89%","66","41","0.00%","3.5",""
"-","Claudiu","862$0.28%862.0","-","63","-","0.00%","3.4",""
"44","Cavander","749$0.24%749.0","51.49%","62","43","0.00%","3.0",""
"55","Impervious","593$0.19%593.0","54.38%","62","52","28.24%","2.4",""
"45","Muhhgi","421$0.14%421.0","46.03%","62","43","23.14%","1.7",""
"33","Crox","406$0.13%406.0","-","66","33","0.00%","1.6",""
"34","Flatzz","244$0.08%244.0","56.66%","63","31","20.42%","1.0",""
"20","Furckinstein","119$0.04%119.0","82.40%","63","17","2.00%","0.5",""
"37","Deadstrike","115$0.04%115.0","78.62%","63","36","1.97%","0.5",""
"37","Trii","78$0.03%78.0","58.73%","65","36","0.00%","0.3",""
