"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","1953323$33.55%1.95m","61.93%","-","72.47%","583.9",""
"Bandakar","534407$9.18%534.4k","59.22%","-","30.23%","159.7",""
"Danty","154399$2.65%154.4k","57.72%","-","22.69%","46.2",""
"Dietolive","141132$2.42%141.1k","4.50%","-","16.78%","42.2",""
"Deadstrike","118767$2.04%118.8k","10.66%","65","18.80%","35.5",""
"Changó","116122$1.99%116.1k","15.72%","66","15.73%","34.7",""
"Claudiu","112983$1.94%113.0k","4.62%","65","10.77%","33.8",""
"Ishney","111937$1.92%111.9k","6.28%","-","12.24%","33.5",""
"Necrohealya","99123$1.70%99.1k","9.81%","67","10.39%","29.6",""
"Hoebowjoe","96347$1.65%96.3k","16.83%","-","14.21%","28.8",""
"Urumettu","95952$1.65%96.0k","8.45%","-","12.27%","28.7",""
"Muhhgi","93803$1.61%93.8k","27.28%","-","20.47%","28.0",""
"Enders","93723$1.61%93.7k","6.85%","-","12.02%","28.0",""
"Pemberstone","93284$1.60%93.3k","16.07%","-","12.07%","27.9",""
"Chainguin","92797$1.59%92.8k","14.96%","66","15.98%","27.7",""
"Chingu","92179$1.58%92.2k","12.45%","62","21.00%","27.6",""
"Impervious","91495$1.57%91.5k","13.82%","-","14.86%","27.3",""
"Trii","90443$1.55%90.4k","8.50%","67","17.15%","27.0",""
"Tazdink","89920$1.54%89.9k","10.50%","64","13.83%","26.9",""
"Ennja","88227$1.52%88.2k","7.19%","56","8.29%","26.4",""
"Gonz","87776$1.51%87.8k","19.98%","-","9.70%","26.2",""
"Kirilov","85359$1.47%85.4k","10.09%","64","14.38%","25.5",""
"Ultimecia","84902$1.46%84.9k","7.81%","-","8.50%","25.4",""
"Pythagorean","84631$1.45%84.6k","11.15%","65","9.46%","25.3",""
"Milku","82821$1.42%82.8k","18.44%","68","10.16%","24.8",""
"Overbit","80821$1.39%80.8k","8.15%","62","13.83%","24.2",""
"Dirtÿ","80765$1.39%80.8k","9.48%","-","8.44%","24.1",""
"Eighchbar","80536$1.38%80.5k","9.83%","-","10.02%","24.1",""
"Wangcake","76350$1.31%76.4k","11.50%","-","11.84%","22.8",""
"Deyn","73899$1.27%73.9k","17.79%","-","12.30%","22.1",""
"Mogs","72964$1.25%73.0k","9.50%","63","6.55%","21.8",""
"Cavander","72708$1.25%72.7k","10.46%","65","8.79%","21.7",""
"Ghazan","70662$1.21%70.7k","13.45%","-","12.74%","21.1",""
"Takanu","69202$1.19%69.2k","16.65%","63","9.87%","20.7",""
"Slecht","68654$1.18%68.7k","10.37%","62","8.48%","20.5",""
"Jiero","66139$1.14%66.1k","21.71%","-","9.94%","19.8",""
"Leetwreck","59646$1.02%59.6k","5.82%","60","10.19%","17.8",""
"Valara","58896$1.01%58.9k","10.72%","-","8.15%","17.6",""
"Fossett","55697$0.96%55.7k","10.68%","-","8.09%","16.6",""
"Akecheta","25135$0.43%25.1k","21.86%","-","3.62%","7.5",""
"Minuteman","23818$0.41%23.8k","6.96%","63","0.93%","7.1",""
