"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"38","Milku","81969$13.51%82.0k","39.21%","-","51","77.44%","104.7",""
"42","Disk","78715$12.98%78.7k","35.44%","61","61","59.49%","100.5",""
"58","Deyn","78504$12.94%78.5k","30.77%","-","80","30.07%","100.2",""
"40","Gonz","65243$10.76%65.2k","11.79%","-","44","20.21%","83.3",""
"14","Phugoid","46114$7.60%46.1k","42.74%","61","22","43.34%","58.9",""
"18","Ghazan","45809$7.55%45.8k","28.65%","59","34","24.11%","58.5",""
"19","Necrohealya","43691$7.20%43.7k","37.97%","62","26","27.36%","55.8",""
"8","Nakur","31197$5.14%31.2k","52.95%","61","9","37.55%","39.8",""
"2","Pythagorean","26558$4.38%26.6k","42.06%","-","3","21.94%","33.9",""
"4","Enders","22461$3.70%22.5k","36.76%","59","7","8.13%","28.7",""
"89","Dietolive","9021$1.49%9.0k","1.11%","-","91","1.92%","11.5",""
"87","Bandakar","7305$1.20%7.3k","-","-","86","0.00%","9.3",""
"87","Crox","5581$0.92%5.6k","7.48%","-","86","0.00%","7.1",""
"78","Kirilov","5246$0.86%5.2k","26.92%","61","78","5.96%","6.7",""
"73","Mogs","4941$0.81%4.9k","-","-","73","1.89%","6.3",""
"81","Trii","4673$0.77%4.7k","-","61","82","0.51%","6.0",""
"78","Valara","4467$0.74%4.5k","5.30%","58","78","1.79%","5.7",""
"68","Hoebowjoe","4320$0.71%4.3k","-","-","67","0.64%","5.5",""
"78","Overbit","4161$0.69%4.2k","-","60","79","0.00%","5.3",""
"-","Odirunn","3970$0.65%4.0k","25.49%","58","-","4.22%","5.1",""
"-","Trololololo","3189$0.53%3.2k","8.26%","59","-","0.00%","4.1",""
"69","Deadstrike","2761$0.46%2.8k","4.03%","58","75","0.64%","3.5",""
"62","Furckinstein","2430$0.40%2.4k","-","-","65","0.00%","3.1",""
"38","Ultimecia","2411$0.40%2.4k","53.34%","61","39","3.79%","3.1",""
"39","Melven","2368$0.39%2.4k","-","60","38","0.00%","3.0",""
"32","Mexius","2223$0.37%2.2k","26.29%","-","34","3.97%","2.8",""
"-","Ashonee","1996$0.33%2.0k","13.14%","55","-","0.00%","2.5",""
"-","Flatzz","1740$0.29%1.7k","0.57%","58","-","0.00%","2.2",""
"-","Grimmeat","1690$0.28%1.7k","-","57","-","0.00%","2.2",""
"-","Limits","1581$0.26%1.6k","9.66%","61","-","0.76%","2.0",""
"-","Draw","1500$0.25%1.5k","-","59","-","0.64%","1.9",""
"-","Ishney","1301$0.21%1.3k","-","55","-","0.00%","1.7",""
"-","Mohawkawakan","1117$0.18%1.1k","-","58","-","0.57%","1.4",""
"31","Fossett","1100$0.18%1.1k","-","62","31","0.00%","1.4",""
"45","Thicc","1048$0.17%1.0k","-","58","48","0.00%","1.3",""
"32","Funk","976$0.16%976.0","-","58","30","0.00%","1.2",""
"27","Cavander","949$0.16%949.0","52.29%","61","28","6.92%","1.2",""
"-","Luneria","844$0.14%844.0","-","57","-","0.00%","1.1",""
"-","Maneens","750$0.12%750.0","40.00%","61","-","0.51%","1.0",""
"20","Trike","478$0.08%478.0","63.79%","59","23","11.48%","0.6",""
"-","Akecheta","211$0.03%211.0","47.64%","-","-","0.00%","0.3",""
