"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"53","Funk","1010622$4.70%1.01m","60","67","60.14%","264.0",""
"60","Mogs","1006316$4.68%1.01m","62","60","57.47%","262.9",""
"57","Trike","984414$4.58%984.4k","-","53","65.34%","257.2",""
"61","Melven","970647$4.52%970.6k","61","69","54.51%","253.6",""
"27","Overbit","904719$4.21%904.7k","61","43","61.68%","236.3",""
"40","Akecheta","903834$4.21%903.8k","-","40","65.69%","236.1",""
"28","Hoebowjoe","869459$4.05%869.5k","-","26","54.48%","227.1",""
"36","Changó","866486$4.03%866.5k","-","30","61.66%","226.4",""
"46","Jiero","819064$3.81%819.1k","66","36","65.00%","214.0",""
"40","Cavander","816852$3.80%816.9k","62","40","53.90%","213.4",""
"32","Muhhgi","786915$3.66%786.9k","-","33","54.03%","205.6",""
"25","Minuteman","782408$3.64%782.4k","-","48","57.04%","204.4",""
"41","Valara","768891$3.58%768.9k","60","55","53.73%","200.9",""
"33","Grimseeker","768525$3.58%768.5k","64","40","64.29%","200.8",""
"30","Kirilov","735290$3.42%735.3k","64","30","47.81%","192.1",""
"43","Mexius","711514$3.31%711.5k","-","42","56.36%","185.9",""
"32","Flatzz","703556$3.27%703.6k","-","26","64.87%","183.8",""
"14","Deadstrike","678933$3.16%678.9k","61","22","62.16%","177.4",""
"40","Fossett","667084$3.10%667.1k","63","32","54.29%","174.3",""
"20","Trii","663078$3.09%663.1k","63","23","47.63%","173.2",""
"13","Saphex","605608$2.82%605.6k","60","19","42.37%","158.2",""
"10","Chainguin","603600$2.81%603.6k","-","11","56.77%","157.7",""
"11","Dankling","551273$2.57%551.3k","56","34","58.50%","144.0",""
"9","Claudiu","543071$2.53%543.1k","-","13","43.43%","141.9",""
"9","Grimmeat","521526$2.43%521.5k","58","16","39.73%","136.2",""
"61","Ultimecia","474110$2.21%474.1k","-","58","31.25%","123.9",""
"27","Danty","456011$2.12%456.0k","-","22","64.01%","119.1",""
"20","Bandakar","395104$1.84%395.1k","-","28","81.81%","103.2",""
"39","Darunor","369715$1.72%369.7k","-","40","63.91%","96.6",""
"23","Furckinstein","353534$1.64%353.5k","-","26","72.96%","92.4",""
"36","Pemberstone","105492$0.49%105.5k","57","29","8.15%","27.6",""
"92","Hii","39486$0.18%39.5k","-","92","5.59%","10.3",""
"93","Nakur","24192$0.11%24.2k","-","93","1.82%","6.3",""
"94","Phugoid","15076$0.07%15.1k","-","94","5.09%","3.9",""
"95","Derka","8857$0.04%8.9k","64","95","3.63%","2.3",""
"-","Necrohealya","3893$0.02%3.9k","-","-","0.00%","1.0",""
"82","Tazdink","1771$0.01%1.8k","55","84","0.00%","0.5",""
"86","Pythagorean","672$0.00%672.0","-","85","0.00%","0.2",""
"95","Milku","152$0.00%152.0","65","95","0.00%","0.0",""
