"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Bandakar","85926$24.92%85.9k","42.71%","63","50.60%","297.6",""
"Mexius","29337$8.51%29.3k","19.22%","66","10.54%","101.6",""
"Darunor","16419$4.76%16.4k","37.12%","60","8.54%","56.9",""
"Flatzz","13416$3.89%13.4k","18.73%","63","7.55%","46.5",""
"Trike","12333$3.58%12.3k","17.30%","63","6.23%","42.7",""
"Kirilov","10069$2.92%10.1k","2.50%","65","3.58%","34.9",""
"Nakur","9760$2.83%9.8k","4.91%","65","0.00%","33.8",""
"Akecheta","8964$2.60%9.0k","10.89%","64","5.13%","31.0",""
"Impervious","8945$2.59%8.9k","33.35%","62","4.59%","31.0",""
"Muhhgi","8845$2.57%8.8k","13.40%","61","0.84%","30.6",""
"Trii","8146$2.36%8.1k","-","65","0.70%","28.2",""
"Claudiu","8122$2.36%8.1k","1.60%","63","3.02%","28.1",""
"Fossett","7386$2.14%7.4k","-","64","0.00%","25.6",""
"Dietolive","7385$2.14%7.4k","5.53%","61","0.56%","25.6",""
"Chingu","7311$2.12%7.3k","10.05%","58","1.20%","25.3",""
"Hoebowjoe","6842$1.98%6.8k","-","63","0.56%","23.7",""
"Pythagorean","6759$1.96%6.8k","-","63","0.00%","23.4",""
"Crow","6733$1.95%6.7k","-","-","0.00%","23.3",""
"Pemberstone","6568$1.90%6.6k","7.68%","59","0.00%","22.7",""
"Chainguin","5510$1.60%5.5k","10.13%","64","0.00%","19.1",""
"Grimseeker","5431$1.58%5.4k","21.75%","64","0.85%","18.8",""
"Phugoid","5298$1.54%5.3k","-","65","0.00%","18.3",""
"Mementomory","5277$1.53%5.3k","9.69%","58","0.00%","18.3",""
"Jiero","5163$1.50%5.2k","-","67","0.00%","17.9",""
"Maruke","5035$1.46%5.0k","-","57","0.56%","17.4",""
"Eighchbar","4915$1.43%4.9k","-","58","0.00%","17.0",""
"Gonz","4683$1.36%4.7k","-","65","0.00%","16.2",""
"Overbit","4662$1.35%4.7k","13.57%","61","0.00%","16.1",""
"Ultimecia","4488$1.30%4.5k","16.47%","65","0.00%","15.5",""
"Minuteman","4468$1.30%4.5k","13.28%","62","2.21%","15.5",""
"Saphex","4066$1.18%4.1k","-","61","1.08%","14.1",""
"Valara","3553$1.03%3.6k","-","63","0.00%","12.3",""
"Ghazan","3164$0.92%3.2k","-","63","0.00%","11.0",""
"Milku","3122$0.91%3.1k","15.12%","65","0.71%","10.8",""
"Mogs","2589$0.75%2.6k","22.09%","62","0.56%","9.0",""
"Tazdink","1643$0.48%1.6k","25.01%","59","0.00%","5.7",""
"Deadstrike","1280$0.37%1.3k","46.62%","62","0.00%","4.4",""
"Deyn","1170$0.34%1.2k","48.64%","64","0.00%","4.1",""
