"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Bandakar","1274742$17.10%1.27m","56.58%","-","61.14%","328.8",""
"Pemberstone","775445$10.40%775.4k","51.56%","-","42.94%","200.0",""
"Guliveris","719723$9.66%719.7k","49.05%","-","35.39%","185.6",""
"Dohvyk","296149$3.97%296.1k","25.82%","-","23.36%","76.4",""
"Furckinstein","286272$3.84%286.3k","28.38%","67","19.89%","73.8",""
"Akecheta","278609$3.74%278.6k","19.90%","-","22.93%","71.9",""
"Danty","277214$3.72%277.2k","40.76%","-","16.26%","71.5",""
"Buffymctank","264330$3.55%264.3k","16.50%","64","15.21%","68.2",""
"Seadub","178542$2.40%178.5k","8.87%","-","12.46%","46.1",""
"Deadstrike","167396$2.25%167.4k","18.80%","-","15.00%","43.2",""
"Gaunz","145249$1.95%145.2k","6.56%","-","8.40%","37.5",""
"Kirilov","142803$1.92%142.8k","17.46%","-","11.37%","36.8",""
"Stankdik","140518$1.89%140.5k","15.08%","67","11.07%","36.2",""
"Ultimecia","131798$1.77%131.8k","8.50%","-","8.79%","34.0",""
"Jáx","123802$1.66%123.8k","10.53%","-","9.19%","31.9",""
"Hoebowjoe","119674$1.61%119.7k","20.62%","-","11.30%","30.9",""
"Dietolive","116349$1.56%116.3k","6.73%","70","7.82%","30.0",""
"Tauraheim","108377$1.45%108.4k","8.67%","66","7.60%","28.0",""
"Duhd","107939$1.45%107.9k","10.09%","-","8.17%","27.8",""
"Jiero","104763$1.41%104.8k","21.99%","-","10.90%","27.0",""
"Yunghelga","103353$1.39%103.4k","17.13%","65","10.40%","26.7",""
"Parisshelton","101212$1.36%101.2k","11.35%","-","9.10%","26.1",""
"Ratshot","100387$1.35%100.4k","14.19%","-","5.62%","25.9",""
"Ghazan","99430$1.33%99.4k","13.35%","-","6.76%","25.6",""
"Irisviiel","93635$1.26%93.6k","19.01%","67","8.19%","24.2",""
"Deyn","92998$1.25%93.0k","16.41%","-","8.16%","24.0",""
"Milku","89849$1.21%89.8k","17.96%","-","7.19%","23.2",""
"Tazdink","87972$1.18%88.0k","11.09%","-","6.11%","22.7",""
"Dirtÿ","87450$1.17%87.5k","18.80%","-","6.08%","22.6",""
"Valara","84660$1.14%84.7k","10.64%","68","6.86%","21.8",""
"Slecht","75950$1.02%76.0k","10.14%","67","5.25%","19.6",""
"Eighchbar","75704$1.02%75.7k","12.95%","-","6.62%","19.5",""
"Fossett","75505$1.01%75.5k","7.99%","69","6.50%","19.5",""
"Necrohealya","73779$0.99%73.8k","14.42%","70","6.95%","19.0",""
"Wangcake","72443$0.97%72.4k","14.42%","-","5.75%","18.7",""
"Shelton","71744$0.96%71.7k","18.05%","68","7.24%","18.5",""
"Urumettu","68782$0.92%68.8k","16.05%","-","8.90%","17.7",""
"Pythagorean","68293$0.92%68.3k","10.08%","-","4.24%","17.6",""
"Ishney","63311$0.85%63.3k","12.30%","-","6.21%","16.3",""
"Changó","54486$0.73%54.5k","16.91%","-","4.94%","14.1",""
"Razorgore the Untamed","52259$0.70%52.3k","-","-","0.81%","13.5",""
