"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"68","Eighchbar","653555$18.76%653.6k","34.80%","-","66","70.15%","156.8",""
"35","Cubensis","634325$18.21%634.3k","37.89%","66","37","50.62%","152.1",""
"31","Pythagorean","597472$17.15%597.5k","33.96%","-","28","49.38%","143.3",""
"32","Deyn","572716$16.44%572.7k","36.91%","71","25","28.88%","137.4",""
"59","Tauraheim","510481$14.65%510.5k","49.48%","69","55","58.48%","122.4",""
"24","Slecht","358712$10.30%358.7k","45.94%","69","21","48.77%","86.0",""
"94","Hoebowjoe","48424$1.39%48.4k","-","-","95","6.23%","11.6",""
"87","Pemberstone","27149$0.78%27.1k","52.66%","-","87","11.63%","6.5",""
"55","Bandakar","20267$0.58%20.3k","42.07%","-","53","43.64%","4.9",""
"67","Dietolive","13434$0.39%13.4k","23.80%","-","66","0.00%","3.2",""
"-","Trolleficent","12288$0.35%12.3k","-","-","-","0.80%","2.9",""
"63","Fossett","9888$0.28%9.9k","-","-","68","0.63%","2.4",""
"37","Dïrty","8714$0.25%8.7k","47.95%","65","36","27.07%","2.1",""
"71","Seadub","6475$0.19%6.5k","51.20%","69","70","0.60%","1.6",""
"33","Crox","6422$0.18%6.4k","29.72%","-","27","2.71%","1.5",""
"-","Urumettu","1607$0.05%1.6k","-","67","-","0.00%","0.4",""
"-","Dryrun","826$0.02%826.0","-","63","-","0.00%","0.2",""
"-","Furkinstine","695$0.02%695.0","-","48","-","0.00%","0.2",""
"-","Jiero","245$0.01%245.0","-","-","-","0.00%","0.1",""
