"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"55","Deyn","706369$12.28%706.4k","22.48%","-","51","50.91%","197.8",""
"67","Disk","666215$11.58%666.2k","25.05%","64","67","66.17%","186.5",""
"55","Enders","617296$10.73%617.3k","23.88%","61","69","65.41%","172.8",""
"62","Milku","571063$9.93%571.1k","38.75%","-","60","77.40%","159.9",""
"41","Derka","549865$9.56%549.9k","44.49%","-","41","69.50%","154.0",""
"47","Nakur","507848$8.83%507.8k","40.74%","63","45","71.63%","142.2",""
"26","Phugoid","500202$8.70%500.2k","34.92%","-","25","63.62%","140.0",""
"25","Gonz","459325$7.99%459.3k","19.84%","63","22","37.93%","128.6",""
"13","Tazdink","368216$6.40%368.2k","16.93%","-","35","39.32%","103.1",""
"23","Necrohealya","316285$5.50%316.3k","40.47%","62","30","50.19%","88.6",""
"80","Ultimecia","43431$0.76%43.4k","21.88%","64","80","7.08%","12.2",""
"83","Hoebowjoe","33849$0.59%33.8k","-","-","83","2.39%","9.5",""
"61","Impervious","29554$0.51%29.6k","20.47%","59","64","35.47%","8.3",""
"86","Grimmeat","27741$0.48%27.7k","2.67%","56","84","1.56%","7.8",""
"65","Akecheta","26623$0.46%26.6k","18.39%","61","62","43.07%","7.5",""
"56","Muhhgi","25547$0.44%25.5k","18.96%","60","55","38.35%","7.2",""
"66","Danty","25478$0.44%25.5k","26.93%","-","62","27.79%","7.1",""
"81","Saphex","22593$0.39%22.6k","-","60","81","1.37%","6.3",""
"60","Trike","22101$0.38%22.1k","29.15%","-","55","37.85%","6.2",""
"75","Claudiu","18631$0.32%18.6k","-","-","73","0.91%","5.2",""
"52","Darunor","18596$0.32%18.6k","53.10%","-","58","4.17%","5.2",""
"46","Flatzz","17535$0.30%17.5k","12.26%","62","41","36.09%","4.9",""
"74","Cavander","16877$0.29%16.9k","16.37%","62","73","0.51%","4.7",""
"61","Overbit","16789$0.29%16.8k","17.14%","60","65","4.27%","4.7",""
"78","Mexius","15461$0.27%15.5k","3.69%","-","77","5.24%","4.3",""
"68","Dietolive","15289$0.27%15.3k","7.83%","61","67","24.70%","4.3",""
"59","Pemberstone","14648$0.25%14.6k","22.52%","-","55","4.24%","4.1",""
"59","Crox","11503$0.20%11.5k","16.02%","-","59","1.84%","3.2",""
"41","Furckinstein","11378$0.20%11.4k","6.27%","-","42","1.92%","3.2",""
"70","Dankling","9827$0.17%9.8k","18.63%","55","79","0.68%","2.8",""
"64","Kirilov","9420$0.16%9.4k","40.69%","64","64","4.54%","2.6",""
"86","Minuteman","8940$0.16%8.9k","-","58","90","0.66%","2.5",""
"86","Grimseeker","8418$0.15%8.4k","-","-","86","0.00%","2.4",""
"61","Thamir","8212$0.14%8.2k","-","-","68","0.00%","2.3",""
"60","Trii","7681$0.13%7.7k","18.79%","61","63","0.76%","2.2",""
"79","Jiero","7019$0.12%7.0k","1.69%","-","78","0.50%","2.0",""
"58","Deadstrike","6029$0.10%6.0k","9.41%","59","65","0.00%","1.7",""
"60","Melven","4385$0.08%4.4k","-","60","56","0.00%","1.2",""
"44","Fossett","3172$0.06%3.2k","-","63","45","0.50%","0.9",""
"27","Chainguin","2473$0.04%2.5k","6.75%","-","26","0.00%","0.7",""
