"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","722588$19.20%722.6k","52.62%","-","75.23%","308.8",""
"Darunor","561273$14.91%561.3k","45.90%","-","58.50%","239.8",""
"Furckinstein","236573$6.29%236.6k","40.82%","61","30.35%","101.1",""
"Trike","198977$5.29%199.0k","27.36%","-","21.62%","85.0",""
"Muhhgi","170897$4.54%170.9k","28.14%","-","18.20%","73.0",""
"Akecheta","125801$3.34%125.8k","9.74%","60","12.92%","53.8",""
"Minuteman","112324$2.98%112.3k","5.99%","58","8.93%","48.0",""
"Dankling","95831$2.55%95.8k","3.82%","51","8.28%","40.9",""
"Trii","95594$2.54%95.6k","9.09%","61","9.47%","40.8",""
"Kirilov","93481$2.48%93.5k","7.92%","63","8.99%","39.9",""
"Deadstrike","89954$2.39%90.0k","6.76%","59","8.84%","38.4",""
"Thicc","89351$2.37%89.4k","3.39%","58","11.15%","38.2",""
"Thamir","84705$2.25%84.7k","4.62%","59","10.72%","36.2",""
"Chainguin","76165$2.02%76.2k","15.11%","-","8.09%","32.5",""
"Gonz","73103$1.94%73.1k","18.55%","-","4.70%","31.2",""
"Ultimecia","67936$1.80%67.9k","10.28%","64","2.49%","29.0",""
"Deyn","62185$1.65%62.2k","8.27%","-","3.97%","26.6",""
"Hoebowjoe","57788$1.54%57.8k","12.41%","61","2.77%","24.7",""
"Funk","57716$1.53%57.7k","13.70%","60","1.38%","24.7",""
"Disk","56563$1.50%56.6k","10.51%","61","3.32%","24.2",""
"Ghazan","56527$1.50%56.5k","9.28%","-","3.93%","24.2",""
"Enders","55924$1.49%55.9k","7.38%","-","3.25%","23.9",""
"Grimmeat","53153$1.41%53.2k","12.63%","55","2.53%","22.7",""
"Cavander","53005$1.41%53.0k","10.32%","62","1.86%","22.6",""
"Milku","51037$1.36%51.0k","12.91%","63","2.47%","21.8",""
"Mogs","47188$1.25%47.2k","5.95%","-","2.56%","20.2",""
"Dietolive","43710$1.16%43.7k","7.23%","60","1.93%","18.7",""
"Fossett","43032$1.14%43.0k","14.21%","59","1.92%","18.4",""
"Jiero","43000$1.14%43.0k","11.56%","66","8.95%","18.4",""
"Mexius","42843$1.14%42.8k","10.09%","-","1.94%","18.3",""
"Claudiu","39302$1.04%39.3k","5.43%","51","0.99%","16.8",""
"Ezri","36804$0.98%36.8k","4.86%","58","1.86%","15.7",""
"Nakur","35309$0.94%35.3k","11.13%","62","1.62%","15.1",""
"Ishney","34165$0.91%34.2k","9.55%","59","1.63%","14.6",""
