"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","76881$19.70%76.9k","57.66%","60","54.09%","254.3",""
"Furckinstein","21022$5.39%21.0k","66.22%","60","24.24%","69.5",""
"Danty","17956$4.60%18.0k","8.01%","61","6.44%","59.4",""
"Overbit","15503$3.97%15.5k","5.60%","60","4.13%","51.3",""
"Cavander","14992$3.84%15.0k","15.42%","62","3.89%","49.6",""
"Darunor","13778$3.53%13.8k","37.73%","59","6.48%","45.6",""
"Minuteman","12893$3.30%12.9k","-","58","0.00%","42.6",""
"Trii","12558$3.22%12.6k","17.16%","61","14.74%","41.5",""
"Ultimecia","11924$3.05%11.9k","7.45%","64","3.62%","39.4",""
"Nakur","11646$2.98%11.6k","-","62","0.00%","38.5",""
"Pythagorean","10907$2.79%10.9k","13.15%","61","0.00%","36.1",""
"Fossett","10649$2.73%10.6k","8.33%","62","2.68%","35.2",""
"Bandakar","10484$2.69%10.5k","35.78%","61","9.91%","34.7",""
"Milku","10273$2.63%10.3k","20.94%","62","5.94%","34.0",""
"Kirilov","10077$2.58%10.1k","8.78%","63","2.02%","33.3",""
"Muhhgi","9985$2.56%10.0k","3.49%","59","3.32%","33.0",""
"Hoebowjoe","9355$2.40%9.4k","4.10%","60","3.72%","30.9",""
"Enders","9255$2.37%9.3k","-","60","1.48%","30.6",""
"Impervious","8876$2.27%8.9k","12.00%","59","2.00%","29.4",""
"Chainguin","8649$2.22%8.6k","26.42%","61","15.94%","28.6",""
"Ishney","7698$1.97%7.7k","6.10%","57","0.00%","25.5",""
"Jiero","7593$1.95%7.6k","9.05%","66","0.94%","25.1",""
"Funk","7538$1.93%7.5k","16.70%","61","3.09%","24.9",""
"Mexius","7140$1.83%7.1k","12.13%","62","1.60%","23.6",""
"Dietolive","6801$1.74%6.8k","-","59","0.00%","22.5",""
"Changó","6766$1.73%6.8k","-","62","0.00%","22.4",""
"Ghazan","6297$1.61%6.3k","-","60","1.35%","20.8",""
"Deyn","6213$1.59%6.2k","24.29%","59","2.00%","20.5",""
"Phugoid","5129$1.31%5.1k","11.52%","61","0.00%","17.0",""
"Akecheta","5053$1.29%5.1k","-","60","0.00%","16.7",""
"Necrohealya","4926$1.26%4.9k","14.54%","62","4.45%","16.3",""
"Deadstrike","4766$1.22%4.8k","8.29%","59","2.56%","15.8",""
"Gonz","4616$1.18%4.6k","31.56%","63","1.07%","15.3",""
"Derka","2148$0.55%2.1k","17.80%","60","2.28%","7.1",""
