"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"60","Deyn","1130752$9.38%1.13m","36.81%","-","67","47.43%","224.9",""
"50","Pythagorean","1083169$8.99%1.08m","38.79%","-","47","67.88%","215.4",""
"49","Wangcake","1022697$8.49%1.02m","45.53%","77","40","77.12%","203.4",""
"54","Drgupta","990336$8.22%990.3k","41.31%","-","65","63.10%","196.9",""
"65","Milku","928518$7.71%928.5k","52.41%","-","60","76.23%","184.6",""
"74","Tauraheim","924467$7.67%924.5k","51.58%","74","70","78.70%","183.8",""
"34","Lumieux","866606$7.19%866.6k","41.06%","-","39","70.06%","172.3",""
"74","Eighchbar","853676$7.09%853.7k","41.53%","71","80","69.49%","169.8",""
"31","Hamhocks","802895$6.66%802.9k","37.64%","70","38","52.43%","159.7",""
"29","Shamallama","760168$6.31%760.2k","30.87%","-","35","42.37%","151.2",""
"44","Ghazan","750812$6.23%750.8k","39.41%","-","47","39.98%","149.3",""
"36","Slecht","622810$5.17%622.8k","46.14%","71","41","61.78%","123.8",""
"12","Necrohealya","553796$4.60%553.8k","48.02%","-","10","57.15%","110.1",""
"85","Ultimecia","77909$0.65%77.9k","17.01%","-","86","2.46%","15.5",""
"88","Guliveris","54599$0.45%54.6k","26.95%","-","89","41.08%","10.9",""
"84","Dietolive","50697$0.42%50.7k","6.62%","-","83","2.07%","10.1",""
"90","Pemberstone","43093$0.36%43.1k","44.99%","-","90","8.56%","8.6",""
"61","Decimous","41449$0.34%41.4k","33.28%","-","62","41.48%","8.2",""
"62","Dohvyk","38444$0.32%38.4k","35.08%","-","62","41.40%","7.6",""
"74","Nimda","36160$0.30%36.2k","12.69%","-","74","3.66%","7.2",""
"63","Akecheta","35647$0.30%35.6k","41.72%","-","61","55.55%","7.1",""
"62","Bandakar","35108$0.29%35.1k","33.47%","-","62","36.91%","7.0",""
"53","Furckinstein","34090$0.28%34.1k","41.73%","-","52","42.32%","6.8",""
"59","Hercalees","31692$0.26%31.7k","41.55%","-","61","36.77%","6.3",""
"71","Johnnylol","23733$0.20%23.7k","4.42%","-","70","0.00%","4.7",""
"46","Garglegop","22734$0.19%22.7k","35.23%","-","46","24.77%","4.5",""
"41","Renke","22695$0.19%22.7k","44.94%","-","45","25.35%","4.5",""
"89","Jiero","21809$0.18%21.8k","2.83%","-","89","1.66%","4.3",""
"67","Gaunz","20758$0.17%20.8k","2.35%","-","62","0.59%","4.1",""
"59","Seadub","19748$0.16%19.7k","22.93%","-","57","1.36%","3.9",""
"7","Kasako","18045$0.15%18.0k","4.88%","65","18","1.45%","3.6",""
"79","Parisshelton","18015$0.15%18.0k","-","-","79","0.00%","3.6",""
"85","Duhd","16819$0.14%16.8k","7.95%","-","85","0.00%","3.3",""
"81","Ishney","14949$0.12%14.9k","-","-","77","1.84%","3.0",""
"63","Melow","14678$0.12%14.7k","20.42%","-","62","0.98%","2.9",""
"78","Muja","14409$0.12%14.4k","1.08%","73","77","0.56%","2.9",""
"55","Mortifier","11771$0.10%11.8k","2.31%","-","54","0.00%","2.3",""
"71","Deadstrike","11702$0.10%11.7k","3.27%","-","69","0.00%","2.3",""
"70","Urumettu","10325$0.09%10.3k","-","-","67","0.00%","2.1",""
"50","Thoominn","8992$0.07%9.0k","9.53%","-","52","0.00%","1.8",""
"62","Irisviiel","8031$0.07%8.0k","-","-","55","0.55%","1.6",""
