"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"30","Ultimecia","857005$6.51%857.0k","-","38","64.16%","222.2",""
"22","Funk","767636$5.83%767.6k","-","46","65.32%","199.0",""
"25","Melven","702786$5.34%702.8k","-","31","55.21%","182.2",""
"25","Dietolive","690979$5.25%691.0k","-","42","53.68%","179.2",""
"26","Mexius","684043$5.20%684.0k","-","35","58.83%","177.4",""
"9","Jiero","683381$5.19%683.4k","-","11","59.00%","177.2",""
"17","Hoebowjoe","638736$4.86%638.7k","-","26","57.82%","165.6",""
"28","Mogs","619925$4.71%619.9k","-","41","41.75%","160.7",""
"18","Cavander","602877$4.58%602.9k","-","22","55.51%","156.3",""
"12","Valara","565930$4.30%565.9k","-","20","51.61%","146.7",""
"8","Kirilov","563161$4.28%563.2k","-","16","44.84%","146.0",""
"8","Deadstrike","558514$4.25%558.5k","57","19","53.82%","144.8",""
"13","Minuteman","536168$4.08%536.2k","-","34","43.74%","139.0",""
"16","Fossett","527776$4.01%527.8k","-","17","58.55%","136.9",""
"7","Trii","480770$3.65%480.8k","-","9","52.25%","124.7",""
"8","Grimseeker","473443$3.60%473.4k","-","17","50.53%","122.8",""
"16","Akecheta","451451$3.43%451.5k","-","18","51.80%","117.1",""
"13","Changó","416819$3.17%416.8k","-","19","57.26%","108.1",""
"8","Ishney","395919$3.01%395.9k","-","31","52.88%","102.7",""
"10","Danty","383250$2.91%383.3k","-","15","48.98%","99.4",""
"30","Darunor","330286$2.51%330.3k","-","30","39.51%","85.6",""
"9","Chainguin","274334$2.09%274.3k","60","15","25.28%","71.1",""
"7","Kade","252897$1.92%252.9k","-","11","77.21%","65.6",""
"17","Crox","250238$1.90%250.2k","-","26","72.10%","64.9",""
"9","Furckinstein","226795$1.72%226.8k","-","9","52.84%","58.8",""
"26","Trike","210940$1.60%210.9k","-","30","20.01%","54.7",""
"-","Gonz","3930$0.03%3.9k","-","-","0.96%","1.0",""
"47","Milku","2437$0.02%2.4k","60","47","1.10%","0.6",""
"-","Ragool","701$0.01%701.0","34","-","0.00%","0.2",""
"-","Ghazan","634$0.00%634.0","59","-","0.00%","0.2",""
"-","Scherbatsky","483$0.00%483.0","31","-","0.00%","0.1",""
"-","Pythagorean","471$0.00%471.0","-","-","0.00%","0.1",""
"-","Rypt","349$0.00%349.0","33","-","0.00%","0.1",""
"-","Mooed","346$0.00%346.0","32","-","0.00%","0.1",""
"-","Strollin","281$0.00%281.0","28","-","0.00%","0.1",""
"-","Choppaa","273$0.00%273.0","35","-","0.00%","0.1",""
"-","Bananas","20$0.00%20.0","28","-","0.00%","0.0",""
"-","Writher","9$0.00%9.0","3","-","0.00%","0.0",""
"-","Katyfir","1$0.00%1.0","-","-","0.00%","0.0",""
