"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"75","Jiero","159021$6.19%159.0k","66","68","70.40%","264.2",""
"72","Grimseeker","152004$5.91%152.0k","66","63","82.66%","252.5",""
"58","Overbit","121252$4.72%121.3k","61","81","60.22%","201.4",""
"59","Mexius","101562$3.95%101.6k","65","52","51.90%","168.7",""
"31","Kirilov","99826$3.88%99.8k","65","24","58.74%","165.8",""
"52","Crow","94699$3.68%94.7k","58","73","50.82%","157.3",""
"42","Hoebowjoe","94165$3.66%94.2k","64","32","37.72%","156.4",""
"36","Chingu","92849$3.61%92.8k","60","64","47.45%","154.2",""
"61","Trike","92711$3.61%92.7k","-","56","50.69%","154.0",""
"46","Valara","92428$3.60%92.4k","64","37","38.48%","153.5",""
"43","Mogs","89837$3.49%89.8k","61","49","37.12%","149.2",""
"43","Deadstrike","88213$3.43%88.2k","63","49","46.05%","146.5",""
"55","Muhhgi","86284$3.36%86.3k","64","49","51.33%","143.3",""
"36","Ultimecia","82868$3.22%82.9k","65","29","36.71%","137.7",""
"52","Fossett","81621$3.17%81.6k","64","46","45.92%","135.6",""
"20","Trii","81300$3.16%81.3k","65","14","56.66%","135.1",""
"27","Saphex","77649$3.02%77.6k","62","26","36.98%","129.0",""
"35","Cavander","74557$2.90%74.6k","63","33","36.57%","123.9",""
"45","Danty","72427$2.82%72.4k","62","42","36.46%","120.3",""
"45","Flatzz","71380$2.78%71.4k","-","41","41.33%","118.6",""
"47","Bandakar","69736$2.71%69.7k","66","46","85.41%","115.8",""
"45","Crox","69734$2.71%69.7k","65","45","74.53%","115.8",""
"26","Dietolive","67641$2.63%67.6k","63","25","40.12%","112.4",""
"14","Chainguin","67622$2.63%67.6k","65","10","40.56%","112.3",""
"42","Akecheta","67406$2.62%67.4k","63","37","33.02%","112.0",""
"39","Changó","65932$2.56%65.9k","65","36","30.45%","109.5",""
"16","Dirtypantiz","61845$2.41%61.8k","62","16","37.00%","102.7",""
"24","Claudiu","60601$2.36%60.6k","64","18","40.95%","100.7",""
"41","Peareyeuh","52175$2.03%52.2k","-","42","43.93%","86.7",""
"25","Darunor","38113$1.48%38.1k","61","24","38.74%","63.3",""
"92","Nakur","10764$0.42%10.8k","65","91","19.22%","17.9",""
"94","Pythagorean","8141$0.32%8.1k","64","94","0.74%","13.5",""
"93","Necrohealya","7699$0.30%7.7k","66","91","6.51%","12.8",""
"-","Tazdink","6811$0.26%6.8k","63","-","4.84%","11.3",""
"81","Gonz","4999$0.19%5.0k","66","76","11.38%","8.3",""
"-","Burnhorn","1551$0.06%1.6k","48","-","0.00%","2.6",""
"54","Enders","1444$0.06%1.4k","65","53","3.61%","2.4",""
"65","Takanu","1071$0.04%1.1k","60","77","0.00%","1.8",""
"-","Jokhang","714$0.03%714.0","50","-","0.00%","1.2",""
"-","Asayu","241$0.01%241.0","63","-","0.00%","0.4",""
