"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"76","Milku","767047$13.40%767.0k","32.19%","65","71","79.69%","200.4",""
"50","Deyn","757272$13.23%757.3k","22.59%","-","47","50.22%","197.8",""
"55","Pythagorean","619732$10.83%619.7k","23.99%","-","70","56.08%","161.9",""
"38","Phugoid","571372$9.98%571.4k","29.45%","-","36","67.17%","149.3",""
"35","Derka","504321$8.81%504.3k","33.00%","64","34","56.00%","131.7",""
"38","Eighchbar","479431$8.38%479.4k","14.43%","55","63","52.84%","125.2",""
"36","Necrohealya","474526$8.29%474.5k","36.19%","-","43","59.24%","124.0",""
"25","Hii","429491$7.50%429.5k","27.63%","-","39","50.40%","112.2",""
"24","Tazdink","383914$6.71%383.9k","8.76%","55","50","35.23%","100.3",""
"45","Nakur","205703$3.59%205.7k","37.69%","-","40","26.07%","53.7",""
"84","Hoebowjoe","44677$0.78%44.7k","-","-","84","1.60%","11.7",""
"70","Danty","32570$0.57%32.6k","15.84%","-","67","25.15%","8.5",""
"91","Ultimecia","28577$0.50%28.6k","13.93%","-","91","1.84%","7.5",""
"75","Grimmeat","26481$0.46%26.5k","-","58","74","1.09%","6.9",""
"82","Saphex","26099$0.46%26.1k","-","60","80","0.83%","6.8",""
"58","Akecheta","25051$0.44%25.1k","24.42%","-","56","42.99%","6.5",""
"63","Trike","23617$0.41%23.6k","31.38%","-","60","34.18%","6.2",""
"62","Changó","22822$0.40%22.8k","31.69%","-","59","39.74%","6.0",""
"75","Mogs","22481$0.39%22.5k","-","62","74","0.00%","5.9",""
"76","Funk","22466$0.39%22.5k","-","60","75","0.00%","5.9",""
"64","Muhhgi","22125$0.39%22.1k","23.47%","-","62","30.90%","5.8",""
"71","Cavander","20486$0.36%20.5k","27.50%","62","70","0.00%","5.4",""
"62","Darunor","16938$0.30%16.9k","48.66%","-","67","3.75%","4.4",""
"59","Bandakar","16271$0.28%16.3k","13.59%","-","63","2.19%","4.3",""
"74","Kirilov","15457$0.27%15.5k","29.72%","64","74","5.15%","4.0",""
"43","Flatzz","15363$0.27%15.4k","34.44%","-","39","38.12%","4.0",""
"82","Claudiu","15194$0.27%15.2k","-","-","80","0.51%","4.0",""
"70","Mexius","14946$0.26%14.9k","8.90%","-","70","3.93%","3.9",""
"73","Deadstrike","14176$0.25%14.2k","27.50%","61","75","4.80%","3.7",""
"74","Trii","13224$0.23%13.2k","11.39%","63","75","0.00%","3.5",""
"90","Jiero","13216$0.23%13.2k","2.57%","66","89","0.68%","3.5",""
"59","Dankling","11808$0.21%11.8k","-","56","75","0.63%","3.1",""
"66","Overbit","10825$0.19%10.8k","27.27%","61","68","3.12%","2.8",""
"72","Valara","10670$0.19%10.7k","-","60","70","0.00%","2.8",""
"76","Minuteman","9062$0.16%9.1k","-","-","82","0.00%","2.4",""
"54","Fossett","8735$0.15%8.7k","19.31%","63","52","0.78%","2.3",""
"42","Furckinstein","7778$0.14%7.8k","16.96%","-","42","0.95%","2.0",""
"62","Chainguin","6751$0.12%6.8k","-","-","63","0.00%","1.8",""
"38","Melven","4650$0.08%4.7k","-","61","36","0.00%","1.2",""
"84","Pemberstone","4098$0.07%4.1k","-","57","82","0.78%","1.1",""
"75","Grimseeker","4035$0.07%4.0k","-","64","76","0.00%","1.1",""
"-","Tsukushî","604$0.01%604.0","32.13%","60","-","0.00%","0.2",""
