"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Guliveris","185465$30.47%185.5k","51.60%","78","66.77%","212.5",""
"Dohvyk","72682$11.94%72.7k","32.72%","70","22.55%","83.3",""
"Mortifier","63085$10.37%63.1k","61.37%","74","37.38%","72.3",""
"Jiera","37322$6.13%37.3k","28.90%","65","13.72%","42.8",""
"Gaunz","35685$5.86%35.7k","16.11%","73","11.37%","40.9",""
"Seadub","35035$5.76%35.0k","8.45%","70","15.21%","40.1",""
"Deadstrike","26550$4.36%26.6k","15.68%","74","11.28%","30.4",""
"Nimda","20894$3.43%20.9k","15.28%","69","10.47%","23.9",""
"Drgupta","20035$3.29%20.0k","28.34%","71","7.20%","23.0",""
"Seraf","18126$2.98%18.1k","10.76%","-","6.28%","20.8",""
"Synergy","17802$2.93%17.8k","18.34%","74","9.81%","20.4",""
"Thoominn","13356$2.19%13.4k","24.53%","63","6.48%","15.3",""
"Duhd","12089$1.99%12.1k","14.20%","74","2.57%","13.8",""
"Slecht","10271$1.69%10.3k","9.65%","71","6.20%","11.8",""
"Kasako","9695$1.59%9.7k","26.47%","67","4.92%","11.1",""
"Lumieux","8750$1.44%8.8k","9.50%","72","4.57%","10.0",""
"Irisviiel","6253$1.03%6.3k","33.97%","77","1.20%","7.2",""
"Pythagorean","5551$0.91%5.6k","6.07%","75","3.29%","6.4",""
"Melven","5228$0.86%5.2k","9.89%","70","1.37%","6.0",""
"Vannawight","4728$0.78%4.7k","17.75%","70","0.93%","5.4",""
