"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"78","Duhd","1150998$6.34%1.15m","70","75","63.23%","348.6",""
"74","Jiero","1025096$5.65%1.03m","-","65","75.21%","310.5",""
"36","Stankdik","1024031$5.64%1.02m","69","37","65.98%","310.2",""
"60","Parisshelton","1018871$5.61%1.02m","69","57","63.28%","308.6",""
"43","Akecheta","991598$5.46%991.6k","-","35","78.25%","300.4",""
"56","Dryrun","907943$5.00%907.9k","64","75","61.17%","275.0",""
"51","Changó","898499$4.95%898.5k","-","43","65.24%","272.2",""
"25","Synergy","896074$4.93%896.1k","66","35","67.46%","271.4",""
"56","Dietolive","836202$4.60%836.2k","70","51","45.16%","253.3",""
"32","Furckinstein","803881$4.43%803.9k","67","27","64.84%","243.5",""
"29","Dïrty","780131$4.30%780.1k","-","38","65.16%","236.3",""
"35","Urumettu","777423$4.28%777.4k","67","36","66.78%","235.5",""
"37","Irisviiel","761791$4.20%761.8k","72","26","60.02%","230.7",""
"42","Bandakar","691039$3.81%691.0k","-","49","74.78%","209.3",""
"50","Guliveris","668843$3.68%668.8k","-","48","70.66%","202.6",""
"29","Daxis","631040$3.48%631.0k","65","42","60.69%","191.1",""
"16","Joepesci","630768$3.47%630.8k","-","44","60.56%","191.1",""
"18","Ishney","628129$3.46%628.1k","73","10","67.37%","190.3",""
"30","Seadub","626547$3.45%626.5k","70","23","53.32%","189.8",""
"40","Hoebowjoe","623642$3.43%623.6k","69","36","61.53%","188.9",""
"53","Fossett","570321$3.14%570.3k","71","42","45.29%","172.8",""
"45","Crox","429422$2.36%429.4k","-","38","71.13%","130.1",""
"23","Valayra","426959$2.35%427.0k","-","68","54.68%","129.3",""
"51","Ghazan","256759$1.41%256.8k","-","48","27.38%","77.8",""
"94","Kasako","28362$0.16%28.4k","-","94","5.97%","8.6",""
"66","Enders","17692$0.10%17.7k","71","67","3.65%","5.4",""
"88","Gonz","17611$0.10%17.6k","67","89","0.00%","5.3",""
"97","Slecht","15585$0.09%15.6k","69","98","5.57%","4.7",""
"93","Pythagorean","12846$0.07%12.8k","70","93","3.16%","3.9",""
"-","Tauraheim","4180$0.02%4.2k","-","-","1.24%","1.3",""
"-","Wangcake","3170$0.02%3.2k","70","-","0.00%","1.0",""
"92","Necrohealya","2379$0.01%2.4k","70","92","0.00%","0.7",""
"-","Yunghelga","1387$0.01%1.4k","69","-","0.00%","0.4",""
"-","Eighchbar","10$0.00%10.0","-","-","0.00%","0.0",""
