"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Bandakar","937343$11.95%937.3k","53.56%","-","52.00%","274.2",""
"Crox","933431$11.90%933.4k","58.60%","-","49.11%","273.0",""
"Danty","587129$7.49%587.1k","59.61%","-","40.66%","171.7",""
"Razorgore the Untamed","370956$4.73%371.0k","-","-","2.79%","108.5",""
"Changó","306108$3.90%306.1k","38.49%","-","25.08%","89.5",""
"Flatzz","257532$3.28%257.5k","23.72%","-","23.12%","75.3",""
"Impervious","246472$3.14%246.5k","31.01%","-","21.42%","72.1",""
"Akecheta","231601$2.95%231.6k","16.61%","-","19.27%","67.7",""
"Trii","202494$2.58%202.5k","15.87%","-","17.57%","59.2",""
"Muhhgi","200006$2.55%200.0k","24.11%","-","20.65%","58.5",""
"Slybanana","195688$2.50%195.7k","14.09%","62","17.31%","57.2",""
"Minuteman","188344$2.40%188.3k","8.81%","63","16.19%","55.1",""
"Deadstrike","187638$2.39%187.6k","16.09%","65","21.05%","54.9",""
"Dankling","175868$2.24%175.9k","13.80%","61","17.08%","51.4",""
"Kirilov","164584$2.10%164.6k","15.31%","-","15.07%","48.1",""
"Chingu","164468$2.10%164.5k","13.53%","-","15.82%","48.1",""
"Chainguin","162558$2.07%162.6k","15.69%","-","16.84%","47.5",""
"Overbit","156655$2.00%156.7k","14.98%","-","15.56%","45.8",""
"Hoebowjoe","130406$1.66%130.4k","11.17%","-","14.06%","38.1",""
"Dirtÿ","125217$1.60%125.2k","11.30%","-","10.49%","36.6",""
"Mogs","120215$1.53%120.2k","10.51%","63","12.89%","35.2",""
"Dietolive","109938$1.40%109.9k","10.61%","63","9.19%","32.2",""
"Tazdink","107849$1.38%107.8k","16.02%","-","8.61%","31.5",""
"Claudiu","104833$1.34%104.8k","16.36%","65","10.95%","30.7",""
"Enders","102266$1.30%102.3k","14.42%","66","8.67%","29.9",""
"Milku","101929$1.30%101.9k","18.82%","68","7.30%","29.8",""
"Ultimecia","96988$1.24%97.0k","11.12%","-","10.00%","28.4",""
"Ishney","95745$1.22%95.7k","20.06%","-","9.60%","28.0",""
"Cavander","95234$1.21%95.2k","13.97%","65","8.56%","27.9",""
"Eighchbar","91812$1.17%91.8k","16.60%","-","6.14%","26.9",""
"Fossett","89607$1.14%89.6k","16.78%","-","8.74%","26.2",""
"Gonz","88806$1.13%88.8k","18.15%","-","9.27%","26.0",""
"Jiero","87789$1.12%87.8k","20.10%","-","9.36%","25.7",""
"Takanu","82830$1.06%82.8k","15.90%","-","6.21%","24.2",""
"Pythagorean","82806$1.06%82.8k","13.75%","65","7.61%","24.2",""
"Lachupacabra","81821$1.04%81.8k","11.43%","-","7.88%","23.9",""
"Deyn","80048$1.02%80.0k","23.85%","-","6.42%","23.4",""
"Ghazan","78956$1.01%79.0k","25.38%","-","6.79%","23.1",""
"Wangcake","78677$1.00%78.7k","15.76%","-","6.42%","23.0",""
"Slecht","70729$0.90%70.7k","15.18%","-","6.42%","20.7",""
"Valara","68709$0.88%68.7k","14.66%","-","7.54%","20.1",""
