"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Pemberstone","706101$8.52%706.1k","57.23%","-","22.20%","141.8",""
"Bandakar","537330$6.49%537.3k","55.76%","-","19.05%","107.9",""
"Guliveris","369643$4.46%369.6k","46.68%","-","12.24%","74.3",""
"Mortifier","339522$4.10%339.5k","44.76%","68","10.24%","68.2",""
"Dïrty","297273$3.59%297.3k","14.91%","64","6.75%","59.7",""
"Decimous","265955$3.21%266.0k","12.63%","-","4.88%","53.4",""
"Changó","247813$2.99%247.8k","20.90%","-","3.52%","49.8",""
"Akecheta","237694$2.87%237.7k","23.90%","-","5.41%","47.7",""
"Kirilov","224776$2.71%224.8k","13.18%","74","7.79%","45.2",""
"Necrohealya","222934$2.69%222.9k","4.95%","-","5.35%","44.8",""
"Deadstrike","218382$2.64%218.4k","14.45%","69","2.94%","43.9",""
"Flatzz","214969$2.60%215.0k","18.65%","66","7.38%","43.2",""
"Stankdik","213634$2.58%213.6k","11.88%","72","6.92%","42.9",""
"Milku","206364$2.49%206.4k","6.87%","-","5.44%","41.5",""
"Wangcake","203944$2.46%203.9k","4.80%","73","4.37%","41.0",""
"Tazdink","200132$2.42%200.1k","6.23%","71","3.91%","40.2",""
"Ultimecia","198629$2.40%198.6k","3.28%","-","3.86%","39.9",""
"Gaunz","197893$2.39%197.9k","2.87%","70","4.84%","39.8",""
"Furckinstein","186378$2.25%186.4k","19.26%","-","4.97%","37.4",""
"Slecht","186108$2.25%186.1k","9.82%","70","5.19%","37.4",""
"Dohvyk","184216$2.22%184.2k","15.71%","70","5.23%","37.0",""
"Eighchbar","182132$2.20%182.1k","6.93%","71","5.07%","36.6",""
"Irisviiel","181508$2.19%181.5k","8.65%","-","4.85%","36.5",""
"Deyn","173522$2.09%173.5k","4.23%","-","4.47%","34.9",""
"Ishney","171367$2.07%171.4k","8.07%","74","4.67%","34.4",""
"Drgupta","167708$2.02%167.7k","13.51%","67","4.30%","33.7",""
"Tauraheim","164273$1.98%164.3k","12.16%","71","3.39%","33.0",""
"Seadub","158757$1.92%158.8k","3.92%","-","3.69%","31.9",""
"Melven","153037$1.85%153.0k","3.20%","64","3.42%","30.7",""
"Ghazan","153004$1.85%153.0k","14.61%","-","7.20%","30.7",""
"Jiero","147894$1.79%147.9k","8.72%","74","4.70%","29.7",""
"Lumieux","146012$1.76%146.0k","4.52%","-","3.32%","29.3",""
"Dietolive","142433$1.72%142.4k","6.13%","71","3.08%","28.6",""
"Kurtz","127990$1.55%128.0k","6.54%","72","3.69%","25.7",""
"Synergy","123123$1.49%123.1k","12.22%","68","1.29%","24.7",""
"Dryrun","114328$1.38%114.3k","7.48%","-","3.82%","23.0",""
"Parisshelton","113426$1.37%113.4k","3.36%","70","3.61%","22.8",""
"Jáx","109791$1.33%109.8k","6.15%","69","1.96%","22.1",""
"Duhd","92980$1.12%93.0k","3.37%","-","1.86%","18.7",""
"Crunchy","505$0.01%505.0","16.67%","-","0.00%","0.1",""
