"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Guliveris","393104$24.58%393.1k","50.35%","-","57.34%","204.4",""
"Mortifier","166906$10.43%166.9k","63.16%","-","44.91%","86.8",""
"Kagomi","154664$9.67%154.7k","8.67%","68","28.44%","80.4",""
"Dohvyk","112454$7.03%112.5k","34.24%","70","17.59%","58.5",""
"Locchiato","101548$6.35%101.5k","7.27%","-","19.08%","52.8",""
"Jiera","76474$4.78%76.5k","26.99%","65","12.16%","39.8",""
"Irongunt","68400$4.28%68.4k","23.72%","62","12.62%","35.6",""
"Renke","66339$4.15%66.3k","27.13%","65","10.78%","34.5",""
"Idunrunnin","64884$4.06%64.9k","23.81%","-","11.06%","33.7",""
"Johnnylol","51335$3.21%51.3k","19.97%","68","8.69%","26.7",""
"Hbar","48693$3.04%48.7k","14.71%","-","9.71%","25.3",""
"Betrayal","46371$2.90%46.4k","7.52%","70","10.85%","24.1",""
"Thunderkek","45452$2.84%45.5k","19.46%","59","7.58%","23.6",""
"Quesogrande","37446$2.34%37.4k","13.99%","68","7.75%","19.5",""
"Jrome","36589$2.29%36.6k","12.53%","67","6.59%","19.0",""
"Kasako","34027$2.13%34.0k","36.42%","67","8.09%","17.7",""
"Vannawight","27287$1.71%27.3k","14.40%","70","5.04%","14.2",""
"Gnarlsbarkly","26351$1.65%26.4k","10.05%","48","3.89%","13.7",""
"Irisviiel","22213$1.39%22.2k","28.41%","76","4.84%","11.5",""
"Dieto","19032$1.19%19.0k","10.16%","-","4.27%","9.9",""
