"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","731159$15.54%731.2k","54.37%","-","60.92%","271.4",""
"Darunor","465601$9.90%465.6k","42.05%","-","38.57%","172.8",""
"Bandakar","355008$7.55%355.0k","52.41%","-","33.77%","131.8",""
"Danty","236396$5.03%236.4k","22.93%","-","27.71%","87.7",""
"Akecheta","186286$3.96%186.3k","9.18%","63","19.57%","69.1",""
"Changó","172684$3.67%172.7k","18.29%","-","15.88%","64.1",""
"Flatzz","169131$3.60%169.1k","14.34%","-","16.08%","62.8",""
"Muhhgi","151116$3.21%151.1k","21.70%","-","15.58%","56.1",""
"Impervious","147944$3.15%147.9k","12.52%","63","14.61%","54.9",""
"Minuteman","126536$2.69%126.5k","8.00%","62","15.74%","47.0",""
"Deadstrike","120200$2.56%120.2k","5.88%","63","17.60%","44.6",""
"Overbit","113999$2.42%114.0k","10.05%","61","12.91%","42.3",""
"Chingu","112356$2.39%112.4k","4.71%","-","13.55%","41.7",""
"Mementomory","111317$2.37%111.3k","6.73%","-","11.12%","41.3",""
"Chainguin","104896$2.23%104.9k","8.66%","65","13.91%","38.9",""
"Trii","91269$1.94%91.3k","8.50%","65","13.28%","33.9",""
"Cavander","76597$1.63%76.6k","8.64%","-","5.48%","28.4",""
"Ultimecia","73875$1.57%73.9k","10.07%","-","5.76%","27.4",""
"Milku","70756$1.50%70.8k","13.30%","66","3.98%","26.3",""
"Mexius","70722$1.50%70.7k","9.79%","-","3.32%","26.2",""
"Kirilov","66577$1.42%66.6k","7.26%","65","7.89%","24.7",""
"Jiero","64811$1.38%64.8k","17.13%","67","5.61%","24.1",""
"Fossett","61469$1.31%61.5k","5.44%","64","4.71%","22.8",""
"Gaunz","56085$1.19%56.1k","5.01%","61","3.40%","20.8",""
"Tazdink","53714$1.14%53.7k","11.02%","63","3.65%","19.9",""
"Necrohealya","53613$1.14%53.6k","10.45%","-","4.84%","19.9",""
"Saphex","53499$1.14%53.5k","6.93%","62","3.76%","19.9",""
"Hoebowjoe","53429$1.14%53.4k","13.37%","-","2.11%","19.8",""
"Valara","53415$1.14%53.4k","12.36%","64","3.86%","19.8",""
"Ghazan","51905$1.10%51.9k","16.91%","-","2.96%","19.3",""
"Crow","50506$1.07%50.5k","7.46%","58","4.26%","18.7",""
"Deyn","50191$1.07%50.2k","8.49%","64","3.46%","18.6",""
"Pythagorean","50077$1.06%50.1k","5.99%","-","3.15%","18.6",""
"Claudiu","47814$1.02%47.8k","6.09%","-","3.21%","17.7",""
"Nakur","46332$0.99%46.3k","10.91%","65","2.30%","17.2",""
"Eighchbar","45291$0.96%45.3k","11.17%","61","2.41%","16.8",""
"Dirtypantiz","43370$0.92%43.4k","6.17%","60","3.36%","16.1",""
"Enders","40905$0.87%40.9k","4.71%","-","1.24%","15.2",""
"Dietolive","40452$0.86%40.5k","9.38%","-","2.19%","15.0",""
"Ishney","31780$0.68%31.8k","9.63%","65","1.28%","11.8",""
"Zubrov","477$0.01%477.0","-","63","0.00%","0.2",""
"Grengok","24$0.00%24.0","33.33%","14","0.00%","0.0",""
