"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"81","Dohvyk","1589287$6.96%1.59m","-","79","80.26%","564.7",""
"73","Nimda","1340946$5.88%1.34m","-","80","66.75%","476.4",""
"62","Synergy","1108830$4.86%1.11m","-","55","68.34%","394.0",""
"80","Parisshelton","1104478$4.84%1.10m","-","70","52.72%","392.4",""
"46","Nazthar","1094431$4.80%1.09m","-","42","66.71%","388.9",""
"78","Duhd","1074409$4.71%1.07m","-","73","52.99%","381.7",""
"59","Furckinstein","1028485$4.51%1.03m","-","54","69.75%","365.4",""
"81","Idunrunnin","988089$4.33%988.1k","-","81","60.13%","351.1",""
"36","Register","900981$3.95%901.0k","66","52","72.57%","320.1",""
"35","Droma","889401$3.90%889.4k","-","41","69.23%","316.0",""
"72","Irisviiel","877613$3.85%877.6k","-","56","65.86%","311.8",""
"49","Zeldascott","837977$3.67%838.0k","-","61","61.40%","297.7",""
"71","Chazzle","836778$3.67%836.8k","-","78","63.09%","297.3",""
"43","Melven","796183$3.49%796.2k","-","56","54.99%","282.9",""
"30","Renke","710554$3.11%710.6k","65","41","62.54%","252.5",""
"25","Aorphan","699696$3.07%699.7k","68","34","59.00%","248.6",""
"33","Hercalees","676640$2.97%676.6k","-","41","54.99%","240.4",""
"26","Seadub","647011$2.84%647.0k","-","24","49.54%","229.9",""
"88","Pemberstone","630119$2.76%630.1k","-","84","74.41%","223.9",""
"41","Swankyorc","614522$2.69%614.5k","-","38","37.64%","218.3",""
"51","Guliveris","611530$2.68%611.5k","-","51","68.13%","217.3",""
"34","Dieto","595905$2.61%595.9k","67","46","55.60%","211.7",""
"29","Darkoutlaw","585019$2.56%585.0k","70","35","61.50%","207.9",""
"12","Dirtysneaker","577072$2.53%577.1k","-","77","58.70%","205.0",""
"16","Ratazzak","572475$2.51%572.5k","-","18","51.07%","203.4",""
"31","Willondra","510858$2.24%510.9k","-","42","40.48%","181.5",""
"23","Thoominn","458018$2.01%458.0k","-","41","54.59%","162.7",""
"36","Mortifier","441382$1.93%441.4k","-","36","61.54%","156.8",""
"49","Slecht","5785$0.03%5.8k","-","49","1.33%","2.1",""
"84","Morticino","3439$0.02%3.4k","69","82","0.00%","1.2",""
"-","Feetsies","2574$0.01%2.6k","72","-","0.00%","0.9",""
"54","Eighchbar","2406$0.01%2.4k","-","54","0.98%","0.9",""
"-","Gonz","1461$0.01%1.5k","69","-","0.00%","0.5",""
"-","Daps","1371$0.01%1.4k","73","-","0.00%","0.5",""
"74","Pythagorean","892$0.00%892.0","-","74","0.00%","0.3",""
"78","Vannawight","888$0.00%888.0","70","78","0.00%","0.3",""
"-","Shanksor","727$0.00%727.0","-","-","0.00%","0.3",""
"-","Jînx","562$0.00%562.0","57","-","0.00%","0.2",""
"-","Imawolf","486$0.00%486.0","-","-","0.00%","0.2",""
"-","Drgupta","342$0.00%342.0","71","-","0.62%","0.1",""
"-","Lumieux","77$0.00%77.0","-","-","0.00%","0.0",""
