"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","680608$13.31%680.6k","61.30%","-","48.78%","234.6",""
"Bandakar","620301$12.13%620.3k","53.15%","-","52.00%","213.8",""
"Pemberstone","454135$8.88%454.1k","53.67%","-","38.58%","156.5",""
"Guliveris","410494$8.03%410.5k","45.01%","-","33.77%","141.5",""
"Dohvyk","203444$3.98%203.4k","19.13%","-","21.06%","70.1",""
"Furckinstein","185270$3.62%185.3k","17.05%","-","21.33%","63.9",""
"Akecheta","180230$3.53%180.2k","20.04%","-","21.51%","62.1",""
"Flatzz","158729$3.10%158.7k","15.17%","-","18.95%","54.7",""
"Changó","152627$2.99%152.6k","14.37%","68","18.11%","52.6",""
"Danty","152520$2.98%152.5k","15.83%","68","20.85%","52.6",""
"Deadstrike","135434$2.65%135.4k","13.78%","69","17.78%","46.7",""
"Minuteman","111878$2.19%111.9k","13.62%","-","17.06%","38.6",""
"Seadub","106641$2.09%106.6k","11.88%","-","13.68%","36.8",""
"Kirilov","101745$1.99%101.7k","9.20%","-","10.20%","35.1",""
"Hoebowjoe","98810$1.93%98.8k","15.16%","-","13.59%","34.1",""
"Dankling","94001$1.84%94.0k","15.49%","-","14.17%","32.4",""
"Jáx","82715$1.62%82.7k","8.23%","-","11.16%","28.5",""
"Jiero","81411$1.59%81.4k","17.19%","-","10.54%","28.1",""
"Dirtÿ","77670$1.52%77.7k","12.06%","-","9.59%","26.8",""
"Gaunz","72493$1.42%72.5k","10.96%","67","9.20%","25.0",""
"Parisshelton","69081$1.35%69.1k","11.06%","-","8.79%","23.8",""
"Ghazan","67080$1.31%67.1k","22.48%","-","8.56%","23.1",""
"Duhd","66041$1.29%66.0k","10.01%","-","6.68%","22.8",""
"Dietolive","62971$1.23%63.0k","8.28%","70","8.60%","21.7",""
"Ultimecia","60292$1.18%60.3k","10.31%","-","9.01%","20.8",""
"Smitty","58690$1.15%58.7k","6.26%","67","7.49%","20.2",""
"Fossett","51637$1.01%51.6k","9.12%","69","6.02%","17.8",""
"Valara","51188$1.00%51.2k","14.20%","-","7.73%","17.6",""
"Ishney","47178$0.92%47.2k","16.15%","-","7.04%","16.3",""
"Tauraheim","44394$0.87%44.4k","14.42%","-","5.37%","15.3",""
"Yunghelga","42831$0.84%42.8k","15.30%","-","5.37%","14.8",""
"Pythagorean","41707$0.82%41.7k","10.52%","-","6.95%","14.4",""
"Irisviiel","40900$0.80%40.9k","18.16%","66","6.03%","14.1",""
"Shelton","36764$0.72%36.8k","13.06%","-","5.15%","12.7",""
"Milku","36726$0.72%36.7k","16.27%","-","6.59%","12.7",""
"Necrohealya","36353$0.71%36.4k","10.30%","70","5.35%","12.5",""
"Slecht","35616$0.70%35.6k","9.10%","67","5.07%","12.3",""
"Eighchbar","33413$0.65%33.4k","10.99%","-","4.40%","11.5",""
"Wangcake","29125$0.57%29.1k","16.09%","70","4.63%","10.0",""
"Deyn","28053$0.55%28.1k","23.37%","-","3.97%","9.7",""
"Razorgore the Untamed","11135$0.22%11.1k","-","-","1.31%","3.8",""
