"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"33","Akecheta","697935$5.21%697.9k","-","40","66.83%","268.1",""
"20","Dohvyk","639114$4.78%639.1k","-","20","65.51%","245.5",""
"30","Dryrun","631192$4.72%631.2k","-","47","66.83%","242.5",""
"40","Kirilov","613654$4.58%613.7k","-","44","54.34%","235.7",""
"36","Duhd","611633$4.57%611.6k","70","49","54.72%","235.0",""
"27","Furckinstein","579867$4.33%579.9k","-","27","61.00%","222.8",""
"32","Parisshelton","578852$4.32%578.9k","70","41","57.59%","222.4",""
"35","Dietolive","536429$4.01%536.4k","-","43","53.86%","206.1",""
"46","Jiero","521443$3.90%521.4k","-","52","64.80%","200.3",""
"28","Stankdik","520903$3.89%520.9k","-","34","55.09%","200.1",""
"18","Synergy","520616$3.89%520.6k","-","30","58.59%","200.0",""
"27","Deadstrike","492794$3.68%492.8k","-","34","56.01%","189.3",""
"51","Guliveris","491617$3.67%491.6k","-","57","69.75%","188.9",""
"23","Jáx","487466$3.64%487.5k","-","34","55.02%","187.3",""
"22","Changó","485986$3.63%486.0k","-","26","62.81%","186.7",""
"25","Flatzz","482700$3.61%482.7k","-","31","58.05%","185.4",""
"37","Ultimecia","475148$3.55%475.1k","-","41","41.93%","182.5",""
"30","Gaunz","467979$3.50%468.0k","-","39","50.14%","179.8",""
"26","Irisviiel","456568$3.41%456.6k","-","26","51.08%","175.4",""
"24","Kurtz","438655$3.28%438.7k","-","28","53.09%","168.5",""
"13","Melven","380049$2.84%380.0k","61","27","52.13%","146.0",""
"16","Dïrty","373731$2.79%373.7k","-","24","60.73%","143.6",""
"31","Crox","347510$2.60%347.5k","-","45","71.98%","133.5",""
"35","Bandakar","339645$2.54%339.6k","-","45","64.05%","130.5",""
"59","Pemberstone","294567$2.20%294.6k","-","62","55.16%","113.2",""
"18","Seadub","281075$2.10%281.1k","-","22","32.73%","108.0",""
"9","Ugara","253168$1.89%253.2k","63","17","51.71%","97.3",""
"8","Ishney","229407$1.71%229.4k","-","8","46.45%","88.1",""
"91","Ghazan","76573$0.57%76.6k","-","92","8.00%","29.4",""
"89","Necrohealya","25894$0.19%25.9k","70","89","9.86%","9.9",""
"92","Deyn","14621$0.11%14.6k","-","93","0.00%","5.6",""
"88","Pythagorean","14524$0.11%14.5k","71","89","2.60%","5.6",""
"92","Milku","8621$0.06%8.6k","-","92","0.00%","3.3",""
"95","Slecht","4334$0.03%4.3k","70","96","3.81%","1.7",""
"72","Drgupta","3929$0.03%3.9k","67","73","1.03%","1.5",""
"75","Tazdink","3414$0.03%3.4k","-","77","1.03%","1.3",""
"88","Tauraheim","1446$0.01%1.4k","-","86","1.49%","0.6",""
"68","Wangcake","1364$0.01%1.4k","72","70","0.00%","0.5",""
"-","Eighchbar","8$0.00%8.0","-","-","0.00%","0.0",""
