"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","834505$16.11%834.5k","53.97%","-","56.91%","268.5",""
"Darunor","505572$9.76%505.6k","44.55%","-","40.63%","162.7",""
"Bandakar","477832$9.22%477.8k","48.75%","-","40.33%","153.8",""
"Impervious","244790$4.72%244.8k","21.85%","-","22.81%","78.8",""
"Changó","229361$4.43%229.4k","17.32%","65","21.33%","73.8",""
"Akecheta","205037$3.96%205.0k","6.98%","-","17.98%","66.0",""
"Trike","189462$3.66%189.5k","14.01%","-","17.32%","61.0",""
"Pemberstone","165438$3.19%165.4k","12.33%","-","16.86%","53.2",""
"Overbit","165149$3.19%165.1k","9.84%","61","17.36%","53.1",""
"Deadstrike","153796$2.97%153.8k","8.50%","63","16.11%","49.5",""
"Dankling","138472$2.67%138.5k","4.92%","57","13.13%","44.6",""
"Chainguin","126316$2.44%126.3k","10.98%","64","13.41%","40.6",""
"Trii","118101$2.28%118.1k","13.04%","65","13.09%","38.0",""
"Ultimecia","105762$2.04%105.8k","9.41%","-","7.08%","34.0",""
"Kirilov","82807$1.60%82.8k","7.52%","65","6.05%","26.6",""
"Crow","78500$1.52%78.5k","5.43%","-","4.30%","25.3",""
"Tazdink","75554$1.46%75.6k","14.88%","62","4.39%","24.3",""
"Fossett","73643$1.42%73.6k","10.74%","64","5.09%","23.7",""
"Grimseeker","71476$1.38%71.5k","11.62%","65","4.14%","23.0",""
"Saphex","71134$1.37%71.1k","11.36%","-","3.01%","22.9",""
"Milku","70329$1.36%70.3k","11.64%","65","4.07%","22.6",""
"Deyn","69080$1.33%69.1k","15.78%","-","5.11%","22.2",""
"Enders","68564$1.32%68.6k","6.23%","64","3.00%","22.1",""
"Mogs","64932$1.25%64.9k","11.74%","62","4.03%","20.9",""
"Dietolive","62989$1.22%63.0k","8.97%","-","1.61%","20.3",""
"Slecht","58058$1.12%58.1k","3.51%","-","2.87%","18.7",""
"Eighchbar","56676$1.09%56.7k","6.13%","-","2.89%","18.2",""
"Cavander","56332$1.09%56.3k","8.61%","62","4.47%","18.1",""
"Gonz","56064$1.08%56.1k","11.09%","-","2.71%","18.0",""
"Claudiu","55086$1.06%55.1k","8.98%","-","2.27%","17.7",""
"Jiero","51751$1.00%51.8k","14.30%","67","3.69%","16.7",""
"Lachupacabra","48717$0.94%48.7k","2.76%","58","1.08%","15.7",""
"Ghazan","48568$0.94%48.6k","14.63%","-","2.73%","15.6",""
"Phugoid","48372$0.93%48.4k","12.82%","-","1.65%","15.6",""
"Valara","47207$0.91%47.2k","10.21%","-","1.95%","15.2",""
"Dirtypantiz","46899$0.91%46.9k","9.01%","-","2.39%","15.1",""
"Hoebowjoe","46290$0.89%46.3k","15.47%","64","1.37%","14.9",""
"Pythagorean","44444$0.86%44.4k","7.46%","63","2.10%","14.3",""
"Ishney","35887$0.69%35.9k","10.64%","61","0.72%","11.5",""
"Necrohealya","32138$0.62%32.1k","9.38%","65","1.44%","10.3",""
"Skacrakka","120$0.00%120.0","27.27%","28","0.00%","0.0",""
"Isrokk","75$0.00%75.0","30.56%","12","0.00%","0.0",""
