"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"75","Ultimecia","984460$4.81%984.5k","64","69","64.82%","304.6",""
"62","Funk","936437$4.57%936.4k","60","77","67.94%","289.8",""
"54","Akecheta","916581$4.48%916.6k","62","49","70.34%","283.6",""
"50","Changó","859943$4.20%859.9k","-","43","59.17%","266.1",""
"33","Chingu","851232$4.16%851.2k","-","63","67.19%","263.4",""
"39","Deadstrike","836382$4.09%836.4k","61","61","68.53%","258.8",""
"44","Hoebowjoe","833918$4.07%833.9k","62","43","57.75%","258.0",""
"49","Muhhgi","822601$4.02%822.6k","61","50","65.55%","254.5",""
"34","Minuteman","799484$3.91%799.5k","61","56","62.60%","247.4",""
"56","Impervious","797472$3.90%797.5k","61","58","56.28%","246.8",""
"37","Grimseeker","756874$3.70%756.9k","-","44","63.42%","234.2",""
"50","Jiero","737032$3.60%737.0k","-","37","61.98%","228.1",""
"49","Mexius","734600$3.59%734.6k","-","42","59.70%","227.3",""
"34","Kirilov","732923$3.58%732.9k","65","26","60.81%","226.8",""
"43","Cavander","725853$3.55%725.9k","62","44","53.70%","224.6",""
"53","Valara","725077$3.54%725.1k","-","64","56.93%","224.4",""
"59","Melven","723411$3.53%723.4k","61","66","52.75%","223.8",""
"45","Mogs","678902$3.32%678.9k","-","48","47.67%","210.1",""
"26","Trii","656013$3.20%656.0k","64","25","52.24%","203.0",""
"14","Chainguin","639399$3.12%639.4k","64","12","53.19%","197.8",""
"53","Fossett","613627$3.00%613.6k","64","45","50.11%","189.9",""
"38","Danty","609981$2.98%610.0k","-","35","70.31%","188.7",""
"67","Pemberstone","607943$2.97%607.9k","-","64","53.93%","188.1",""
"24","Crow","568003$2.77%568.0k","-","76","47.31%","175.8",""
"18","Claudiu","543670$2.66%543.7k","61","21","44.43%","168.2",""
"10","Dankling","530278$2.59%530.3k","56","36","64.65%","164.1",""
"45","Crox","389786$1.90%389.8k","-","51","79.30%","120.6",""
"21","Bandakar","360177$1.76%360.2k","-","22","71.98%","111.4",""
"46","Darunor","324466$1.58%324.5k","-","49","61.82%","100.4",""
"95","Phugoid","42938$0.21%42.9k","-","94","6.81%","13.3",""
"96","Nakur","34067$0.17%34.1k","64","96","8.09%","10.5",""
"94","Hii","29338$0.14%29.3k","-","94","3.82%","9.1",""
"96","Ghazan","20634$0.10%20.6k","-","96","2.04%","6.4",""
"65","Tazdink","18272$0.09%18.3k","60","67","2.92%","5.7",""
"80","Pythagorean","16966$0.08%17.0k","62","80","0.65%","5.2",""
"83","Gonz","12353$0.06%12.4k","65","82","1.01%","3.8",""
