"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"78","Enders","52500$14.84%52.5k","25.20%","61","92","69.05%","155.2",""
"91","Milku","51251$14.48%51.3k","39.44%","65","88","88.62%","151.5",""
"62","Disk","41649$11.77%41.6k","30.34%","64","62","63.74%","123.1",""
"54","Deyn","35035$9.90%35.0k","25.44%","64","47","25.69%","103.5",""
"51","Gonz","30061$8.50%30.1k","7.03%","64","44","19.67%","88.8",""
"45","Tazdink","26090$7.37%26.1k","7.17%","-","91*","25.77%","77.1",""
"15","Phugoid","22983$6.50%23.0k","41.17%","64","13","33.29%","67.9",""
"27","Nakur","20566$5.81%20.6k","46.36%","64","22","56.36%","60.8",""
"5","Derka","18408$5.20%18.4k","42.53%","64","4","32.83%","54.4",""
"7","Necrohealya","10636$3.01%10.6k","43.43%","62","8","16.16%","31.4",""
"90","Mexius","4606$1.30%4.6k","0.95%","63","90","10.32%","13.6",""
"95","Grimmeat","4296$1.21%4.3k","3.91%","56","95","4.43%","12.7",""
"77","Ultimecia","3422$0.97%3.4k","19.78%","64","76","4.43%","10.1",""
"90","Overbit","2944$0.83%2.9k","16.55%","60","91","7.94%","8.7",""
"87","Trike","2801$0.79%2.8k","12.19%","62","85","26.69%","8.3",""
"84","Crox","2739$0.77%2.7k","12.52%","61","83","1.58%","8.1",""
"68","Funk","2580$0.73%2.6k","-","61","68","0.00%","7.6",""
"85","Kirilov","2350$0.66%2.4k","14.51%","64","84","5.68%","6.9",""
"81","Akecheta","2157$0.61%2.2k","20.29%","61","80","34.73%","6.4",""
"81","Darunor","2135$0.60%2.1k","-","60","82","0.84%","6.3",""
"78","Deadstrike","2000$0.57%2.0k","11.11%","59","80","2.07%","5.9",""
"77","Flatzz","1929$0.55%1.9k","16.13%","62","75","18.06%","5.7",""
"77","Impervious","1879$0.53%1.9k","18.55%","59","78","24.59%","5.6",""
"68","Hoebowjoe","1644$0.46%1.6k","-","-","68","0.00%","4.9",""
"84","Grimseeker","1601$0.45%1.6k","-","65","84","0.00%","4.7",""
"69","Minuteman","1488$0.42%1.5k","-","58","75","0.00%","4.4",""
"71","Pemberstone","1422$0.40%1.4k","-","-","70","0.00%","4.2",""
"63","Dankling","1215$0.34%1.2k","17.06%","55","72","2.12%","3.6",""
"45","Danty","588$0.17%588.0","54.73%","62","43","12.73%","1.7",""
"34","Muhhgi","433$0.12%433.0","71.94%","60","35","26.06%","1.3",""
"34","Furckinstein","367$0.10%367.0","-","62","31","0.00%","1.1",""
"23","Cavander","73$0.02%73.0","88.73%","62","23","0.00%","0.2",""
