"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"61","Grimseeker","80066$5.84%80.1k","64","75","84.40%","223.2",""
"56","Jiero","77649$5.66%77.6k","66","43","66.38%","216.4",""
"80","Muhhgi","73330$5.35%73.3k","60","88","64.05%","204.4",""
"38","Ultimecia","62541$4.56%62.5k","64","32","61.33%","174.3",""
"46","Overbit","60133$4.39%60.1k","60","76","56.83%","167.6",""
"25","Funk","59919$4.37%59.9k","61","30","63.34%","167.0",""
"39","Kirilov","56764$4.14%56.8k","64","39","55.21%","158.2",""
"39","Dietolive","56171$4.10%56.2k","-","52","62.19%","156.6",""
"62","Impervious","55479$4.05%55.5k","59","79","62.50%","154.6",""
"27","Cavander","55328$4.04%55.3k","62","29","61.59%","154.2",""
"60","Changó","53903$3.93%53.9k","63","54","40.87%","150.2",""
"41","Fossett","49905$3.64%49.9k","63","34","64.48%","139.1",""
"65","Crox","48800$3.56%48.8k","-","67","87.20%","136.0",""
"25","Deadstrike","47752$3.48%47.8k","59","56","58.71%","133.1",""
"26","Trii","45997$3.35%46.0k","62","38","52.04%","128.2",""
"23","Dankling","44941$3.28%44.9k","55","65","63.29%","125.3",""
"47","Akecheta","43789$3.19%43.8k","61","49","42.10%","122.0",""
"8","Ishney","39419$2.88%39.4k","60","19","49.25%","109.9",""
"10","Melven","39167$2.86%39.2k","60","16","60.91%","109.2",""
"14","Hoebowjoe","38742$2.83%38.7k","61","17","56.63%","108.0",""
"13","Grimmeat","37598$2.74%37.6k","56","28","40.34%","104.8",""
"37","Mexius","36973$2.70%37.0k","63","35","51.27%","103.1",""
"10","Thamir","30897$2.25%30.9k","60","22","40.44%","86.1",""
"6","Claudiu","29837$2.18%29.8k","58","8","27.38%","83.2",""
"26","Furckinstein","29750$2.17%29.8k","61","28","70.99%","82.9",""
"8","Chainguin","27804$2.03%27.8k","-","13","55.01%","77.5",""
"26","Danty","27652$2.02%27.7k","61","52","61.79%","77.1",""
"15","Darunor","20701$1.51%20.7k","-","15","50.89%","57.7",""
"13","Bandakar","20660$1.51%20.7k","-","15","75.88%","57.6",""
"92","Phugoid","6928$0.51%6.9k","63","93","22.10%","19.3",""
"2","Necrohealya","4859$0.35%4.9k","62","2","24.57%","13.5",""
"90","Gonz","4505$0.33%4.5k","63","90","24.95%","12.6",""
"-","Disk","1797$0.13%1.8k","64","-","2.70%","5.0",""
"66","Enders","1301$0.09%1.3k","61","68","2.73%","3.6",""
