"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"75","Eighchbar","699176$22.72%699.2k","31.35%","-","72","69.60%","164.3",""
"47","Deyn","686470$22.30%686.5k","38.10%","71","36","48.51%","161.3",""
"49","Pythagorean","619508$20.13%619.5k","28.71%","-","44","53.05%","145.6",""
"40","Cubensis","568462$18.47%568.5k","40.55%","66","41","50.92%","133.6",""
"35","Necrohealya","312003$10.14%312.0k","58.01%","70","36","53.51%","73.3",""
"93","Ghazan","59595$1.94%59.6k","27.66%","-","91","3.61%","14.0",""
"92","Hoebowjoe","42881$1.39%42.9k","-","-","93","6.80%","10.1",""
"75","Slecht","32844$1.07%32.8k","54.22%","-","73","8.67%","7.7",""
"88","Pemberstone","21244$0.69%21.2k","48.91%","68","89","10.65%","5.0",""
"90","Dietolive","8525$0.28%8.5k","27.79%","70","90","0.00%","2.0",""
"38","Dïrty","8273$0.27%8.3k","38.48%","-","43","14.53%","1.9",""
"63","Fossett","7848$0.25%7.8k","16.47%","-","67","1.31%","1.8",""
"77","Seadub","3324$0.11%3.3k","71.90%","-","76","3.29%","0.8",""
"-","Ishney","2695$0.09%2.7k","-","73","-","0.00%","0.6",""
"81","Gonz","2045$0.07%2.0k","55.78%","-","81","0.00%","0.5",""
"82","Joepesci","1588$0.05%1.6k","-","-","85","0.00%","0.4",""
"86","Urumettu","1000$0.03%1,000.0","-","-","86","0.00%","0.2",""
"-","Furkinstine","353$0.01%353.0","-","50","-","0.00%","0.1",""
