"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","794568$16.12%794.6k","56.80%","-","68.71%","258.7",""
"Bandakar","458641$9.31%458.6k","50.83%","-","39.76%","149.3",""
"Danty","412585$8.37%412.6k","49.27%","64","32.99%","134.3",""
"Akecheta","207040$4.20%207.0k","10.38%","64","18.79%","67.4",""
"Changó","188827$3.83%188.8k","17.14%","-","18.58%","61.5",""
"Pemberstone","185102$3.76%185.1k","33.37%","-","21.51%","60.3",""
"Leetwreck","183227$3.72%183.2k","6.34%","60","17.77%","59.6",""
"Muhhgi","178290$3.62%178.3k","15.24%","-","19.72%","58.0",""
"Minuteman","166423$3.38%166.4k","7.38%","63","18.84%","54.2",""
"Overbit","155443$3.15%155.4k","9.02%","62","18.19%","50.6",""
"Dankling","142723$2.90%142.7k","6.85%","61","17.32%","46.5",""
"Impervious","139788$2.84%139.8k","8.13%","-","13.29%","45.5",""
"Deadstrike","120876$2.45%120.9k","7.38%","65","14.31%","39.3",""
"Trii","120643$2.45%120.6k","12.29%","-","13.53%","39.3",""
"Chainguin","106161$2.15%106.2k","10.65%","66","14.07%","34.6",""
"Kirilov","95565$1.94%95.6k","8.78%","-","13.28%","31.1",""
"Fossett","76243$1.55%76.2k","11.58%","-","6.83%","24.8",""
"Tazdink","74662$1.51%74.7k","9.25%","-","4.18%","24.3",""
"Slecht","61032$1.24%61.0k","6.00%","63","2.87%","19.9",""
"Mexius","59700$1.21%59.7k","11.38%","-","3.46%","19.4",""
"Ennja","59693$1.21%59.7k","8.08%","-","3.58%","19.4",""
"Takanu","57729$1.17%57.7k","6.17%","63","3.92%","18.8",""
"Milku","57606$1.17%57.6k","10.53%","68","3.85%","18.8",""
"Pythagorean","54437$1.10%54.4k","7.90%","65","3.04%","17.7",""
"Unknown","53725$1.09%53.7k","8.45%","-","2.88%","17.5",""
"Eighchbar","53396$1.08%53.4k","10.42%","62","3.22%","17.4",""
"Gonz","52265$1.06%52.3k","12.00%","-","3.61%","17.0",""
"Ghazan","51870$1.05%51.9k","6.48%","-","1.45%","16.9",""
"Dirtÿ","50700$1.03%50.7k","6.44%","65","2.69%","16.5",""
"Cavander","50351$1.02%50.4k","7.13%","66","4.17%","16.4",""
"Jiero","49384$1.00%49.4k","9.83%","66","2.88%","16.1",""
"Funk","48592$0.99%48.6k","4.46%","-","2.41%","15.8",""
"Lachupacabra","48073$0.98%48.1k","4.68%","61","2.18%","15.6",""
"Enders","47521$0.96%47.5k","7.08%","66","2.14%","15.5",""
"Mogs","44296$0.90%44.3k","11.01%","63","1.99%","14.4",""
"Valara","40056$0.81%40.1k","11.54%","65","2.39%","13.0",""
"Drhealsgood","39636$0.80%39.6k","6.69%","-","1.80%","12.9",""
"Claudiu","39029$0.79%39.0k","11.06%","65","2.20%","12.7",""
"Wangcake","37459$0.76%37.5k","0.88%","-","1.09%","12.2",""
"Urumettu","35294$0.72%35.3k","10.63%","-","2.31%","11.5",""
"Bigdrip","6333$0.13%6.3k","14.56%","-","0.57%","2.1",""
"Briannacloe","5894$0.12%5.9k","22.36%","59","0.78%","1.9",""
"Torage","5887$0.12%5.9k","27.03%","61","0.72%","1.9",""
"Hestrix","2608$0.05%2.6k","17.36%","54","0.70%","0.8",""
"Danius","2395$0.05%2.4k","7.39%","-","0.00%","0.8",""
"Shadowsaken","1927$0.04%1.9k","11.69%","67","0.00%","0.6",""
"Wormboy","1851$0.04%1.9k","-","55","0.00%","0.6",""
"Iteration","1205$0.02%1.2k","15.68%","-","0.00%","0.4",""
"Lorm","794$0.02%794.0","26.00%","67","0.00%","0.3",""
"Iaz","545$0.01%545.0","42.63%","-","0.00%","0.2",""
"Thugzilla","262$0.01%262.0","29.57%","-","0.00%","0.1",""
"Inquiry","19$0.00%19.0","-","66","0.00%","0.0",""
"Quigongym","9$0.00%9.0","57.14%","35","0.00%","0.0",""
