"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"58","Yunghelga","624121$13.35%624.1k","12.51%","66","65","49.56%","243.2",""
"78","Eighchbar","619178$13.25%619.2k","26.20%","69","77","76.39%","241.3",""
"62","Shelton","580480$12.42%580.5k","31.00%","67","70","73.95%","226.2",""
"79","Wangcake","574834$12.30%574.8k","26.93%","70","78","71.14%","224.0",""
"72","Milku","504813$10.80%504.8k","40.54%","-","66","74.25%","196.7",""
"57","Slecht","440712$9.43%440.7k","34.44%","67","63","69.92%","171.8",""
"60","Tauraheim","425492$9.10%425.5k","46.13%","-","74","63.49%","165.8",""
"39","Ghazan","289281$6.19%289.3k","13.35%","-","35","27.76%","112.7",""
"19","Vannawight","275434$5.89%275.4k","45.59%","63","32","52.09%","107.3",""
"92","Ultimecia","34071$0.73%34.1k","32.59%","72","91","13.70%","13.3",""
"58","Buffymctank","30673$0.66%30.7k","26.24%","64","57","56.29%","12.0",""
"84","Bandakar","26699$0.57%26.7k","23.34%","-","81","49.64%","10.4",""
"84","Pemberstone","24810$0.53%24.8k","20.59%","-","84","7.25%","9.7",""
"93","Hoebowjoe","22417$0.48%22.4k","-","68","93","1.34%","8.7",""
"71","Flatzz","21698$0.46%21.7k","34.54%","-","69","46.43%","8.5",""
"86","Tumblebug","20994$0.45%21.0k","2.94%","-","86","1.77%","8.2",""
"59","Changó","16494$0.35%16.5k","36.99%","-","57","51.56%","6.4",""
"56","Furckinstein","15704$0.34%15.7k","29.49%","67","53","42.20%","6.1",""
"73","Akecheta","15684$0.34%15.7k","37.61%","-","72","44.67%","6.1",""
"68","Jiera","14950$0.32%15.0k","27.77%","-","71","31.04%","5.8",""
"61","Dohvyk","14388$0.31%14.4k","39.43%","-","60","54.86%","5.6",""
"81","Jáx","12098$0.26%12.1k","-","60","78","0.00%","4.7",""
"51","Guliveris","11113$0.24%11.1k","45.38%","-","50","33.09%","4.3",""
"62","Crox","9425$0.20%9.4k","12.80%","-","59","2.50%","3.7",""
"86","Pointed","8139$0.17%8.1k","-","-","91","0.82%","3.2",""
"82","Valara","7883$0.17%7.9k","-","68","81","0.00%","3.1",""
"60","Fossett","5570$0.12%5.6k","-","69","59","0.69%","2.2",""
"73","Irisviiel","4665$0.10%4.7k","-","64","66","0.51%","1.8",""
"73","Seadub","3814$0.08%3.8k","40.93%","71","72","0.58%","1.5",""
"91","Dankling","3298$0.07%3.3k","4.38%","-","92","0.00%","1.3",""
"58","Deadstrike","3286$0.07%3.3k","57.91%","69","61","4.95%","1.3",""
"26","Decimous","3124$0.07%3.1k","6.72%","-","38","9.71%","1.2",""
"64","Gaunz","2997$0.06%3.0k","-","67","65","0.00%","1.2",""
"68","Dayn","2294$0.05%2.3k","-","62","64","0.00%","0.9",""
"-","Duhd","1977$0.04%2.0k","14.34%","66","-","0.00%","0.8",""
"70","Parisshelton","1661$0.04%1.7k","35.67%","68","69","0.00%","0.6",""
