"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"59","Deyn","600938$11.42%600.9k","40.25%","70","66","46.89%","190.7",""
"76","Tauraheim","522448$9.93%522.4k","52.14%","-","74","75.94%","165.8",""
"52","Drgupta","507820$9.65%507.8k","50.93%","68","63","64.96%","161.2",""
"44","Wangcake","475733$9.04%475.7k","50.58%","74","40","73.73%","151.0",""
"57","Pythagorean","472294$8.98%472.3k","35.71%","-","54","50.77%","149.9",""
"41","Ghazan","448628$8.53%448.6k","42.01%","-","40","41.36%","142.4",""
"63","Milku","446975$8.50%447.0k","58.48%","-","55","75.01%","141.8",""
"42","Shamallama","400797$7.62%400.8k","33.57%","-","54","34.68%","127.2",""
"47","Necrohealya","397371$7.55%397.4k","58.47%","-","52","77.62%","126.1",""
"28","Lumieux","376599$7.16%376.6k","45.89%","-","39","63.36%","119.5",""
"47","Slecht","317818$6.04%317.8k","52.81%","70","51","62.60%","100.9",""
"68","Guliveris","22517$0.43%22.5k","37.93%","-","69","40.45%","7.1",""
"62","Akecheta","18210$0.35%18.2k","51.88%","-","61","60.60%","5.8",""
"87","Duhd","17336$0.33%17.3k","-","70","86","3.96%","5.5",""
"90","Parisshelton","16144$0.31%16.1k","-","-","90","3.09%","5.1",""
"81","Ultimecia","15844$0.30%15.8k","29.56%","-","81","0.00%","5.0",""
"88","Kurtz","15602$0.30%15.6k","-","-","88","2.49%","5.0",""
"47","Flatzz","13455$0.26%13.5k","53.47%","-","46","47.79%","4.3",""
"58","Dohvyk","13451$0.26%13.5k","59.59%","-","56","52.89%","4.3",""
"46","Furckinstein","13118$0.25%13.1k","53.60%","-","43","49.83%","4.2",""
"46","Rexwalters","12880$0.24%12.9k","55.29%","-","46","48.20%","4.1",""
"81","Kirilov","12584$0.24%12.6k","64.27%","-","79","21.77%","4.0",""
"88","Pemberstone","12222$0.23%12.2k","47.54%","-","88","4.98%","3.9",""
"41","Giacco","11624$0.22%11.6k","50.89%","-","41","41.20%","3.7",""
"46","Changó","10953$0.21%11.0k","62.11%","-","44","44.90%","3.5",""
"41","Lexzie","10592$0.20%10.6k","66.69%","63","43","46.28%","3.4",""
"88","Pointed","8578$0.16%8.6k","-","-","85","2.28%","2.7",""
"88","Nimda","8197$0.16%8.2k","24.04%","-","87","1.30%","2.6",""
"75","Deadstrike","7727$0.15%7.7k","73.34%","-","73","21.04%","2.5",""
"85","Mortifier","7635$0.15%7.6k","-","-","90","0.00%","2.4",""
"74","Synergy","7523$0.14%7.5k","47.53%","-","73","5.62%","2.4",""
"93","Hbar","7016$0.13%7.0k","15.12%","-","90","1.74%","2.2",""
"58","Jáx","6594$0.13%6.6k","-","-","58","1.50%","2.1",""
"97","Ugara","6050$0.11%6.1k","6.59%","-","96","0.00%","1.9",""
"54","Urumettu","4642$0.09%4.6k","27.38%","-","59","0.00%","1.5",""
"84","Gaunz","4210$0.08%4.2k","19.19%","71","83","0.00%","1.3",""
"45","Slowz","4100$0.08%4.1k","-","71","45","0.68%","1.3",""
"12","Melven","2297$0.04%2.3k","-","-","15","0.00%","0.7",""
"66","Ishney","2205$0.04%2.2k","-","-","69","0.00%","0.7",""
"50","Irisviiel","500$0.01%500.0","80.00%","-","50","0.00%","0.2",""
