"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","58757$18.95%58.8k","45.34%","70","51.17%","261.3",""
"Guliveris","38529$12.43%38.5k","27.00%","67","27.53%","171.3",""
"Bandakar","33924$10.94%33.9k","31.72%","68","27.39%","150.8",""
"Gaunz","11951$3.85%12.0k","13.61%","67","8.49%","53.1",""
"Pointed","11379$3.67%11.4k","-","60","8.13%","50.6",""
"Duhd","11339$3.66%11.3k","12.29%","66","7.34%","50.4",""
"Jiera","10330$3.33%10.3k","8.87%","60","1.08%","45.9",""
"Furckinstein","10095$3.26%10.1k","14.79%","66","5.01%","44.9",""
"Deadstrike","8637$2.79%8.6k","17.81%","69","5.77%","38.4",""
"Jáx","8216$2.65%8.2k","11.75%","60","4.88%","36.5",""
"Eighchbar","7485$2.41%7.5k","8.94%","69","0.00%","33.3",""
"Ultimecia","7306$2.36%7.3k","3.67%","72","2.18%","32.5",""
"Seadub","7110$2.29%7.1k","4.55%","70","2.66%","31.6",""
"Milku","6528$2.11%6.5k","21.14%","71","0.00%","29.0",""
"Flatzz","6528$2.11%6.5k","4.51%","65","3.09%","29.0",""
"Slecht","6398$2.06%6.4k","14.72%","67","0.00%","28.4",""
"Danty","5119$1.65%5.1k","21.55%","68","1.40%","22.8",""
"Kasako","4953$1.60%5.0k","-","61","5.05%","22.0",""
"Pythagorean","4851$1.56%4.9k","18.02%","70","0.00%","21.6",""
"Ghazan","4749$1.53%4.7k","24.98%","-","0.00%","21.1",""
"Valara","4435$1.43%4.4k","-","68","2.89%","19.7",""
"Dohvyk","4408$1.42%4.4k","2.93%","68","1.75%","19.6",""
"Necrohealya","3645$1.18%3.6k","-","63","0.00%","16.2",""
"Deyn","3472$1.12%3.5k","22.07%","70","2.14%","15.4",""
"Yunghelga","3300$1.06%3.3k","-","66","0.00%","14.7",""
"Shelton","3132$1.01%3.1k","-","68","0.00%","13.9",""
"Smitty","3082$0.99%3.1k","-","67","0.00%","13.7",""
"Fossett","2975$0.96%3.0k","-","69","0.00%","13.2",""
"Ishney","2848$0.92%2.8k","-","72","0.00%","12.7",""
"Minuteman","1886$0.61%1.9k","39.34%","68","0.00%","8.4",""
"Dankling","1734$0.56%1.7k","29.91%","72","0.00%","7.7",""
"Hoebowjoe","1715$0.55%1.7k","18.37%","68","1.27%","7.6",""
"Changó","1692$0.55%1.7k","-","68","0.00%","7.5",""
"Tauraheim","1680$0.54%1.7k","-","65","0.00%","7.5",""
"Parisshelton","1606$0.52%1.6k","-","68","0.00%","7.1",""
"Kirilov","1460$0.47%1.5k","25.01%","72","0.00%","6.5",""
"Wangcake","1385$0.45%1.4k","-","70","0.00%","6.2",""
"Dirtÿ","1383$0.45%1.4k","-","72","0.00%","6.1",""
