"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"57","Pythagorean","250575$22.29%250.6k","36.79%","75","48","62.06%","198.8",""
"28","Lumieux","204122$18.16%204.1k","49.90%","72","26","70.40%","161.9",""
"41","Kasako","175670$15.62%175.7k","32.14%","67","47","41.09%","139.3",""
"34","Vannawight","152241$13.54%152.2k","64.23%","70","34","63.96%","120.8",""
"19","Slecht","133239$11.85%133.2k","45.60%","71","19","50.95%","105.7",""
"7","Johnnyxo","119861$10.66%119.9k","45.85%","56","16","64.50%","95.1",""
"72","Drgupta","52624$4.68%52.6k","41.98%","-","71","19.32%","41.7",""
"71","Guliveris","9015$0.80%9.0k","28.25%","78","71","38.35%","7.2",""
"83","Synergy","6183$0.55%6.2k","56.04%","-","78","17.17%","4.9",""
"42","Dohvyk","5920$0.53%5.9k","48.45%","-","37","45.60%","4.7",""
"53","Furckinstein","5590$0.50%5.6k","43.65%","-","49","39.14%","4.4",""
"55","Hercalees","4519$0.40%4.5k","42.99%","-","54","22.55%","3.6",""
"-","Hbar","1490$0.13%1.5k","-","65","-","0.00%","1.2",""
"-","Gaunz","1440$0.13%1.4k","-","74","-","0.00%","1.1",""
"66","Nimda","807$0.07%807.0","64.94%","69","71","1.60%","0.6",""
"-","Mortifier","741$0.07%741.0","43.65%","-","-","0.00%","0.6",""
"-","Duhd","279$0.02%279.0","77.68%","-","-","0.00%","0.2",""
