"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"46","Dohvyk","1136845$5.47%1.14m","-","44","77.71%","403.6",""
"51","Akecheta","1092320$5.26%1.09m","-","50","75.87%","387.8",""
"70","Parisshelton","923555$4.45%923.6k","-","79","64.98%","327.9",""
"52","Jáx","920114$4.43%920.1k","-","72","61.60%","326.7",""
"73","Duhd","862283$4.15%862.3k","-","80","54.88%","306.1",""
"39","Furckinstein","844834$4.07%844.8k","-","40","65.50%","299.9",""
"38","Flatzz","827142$3.98%827.1k","-","50","74.93%","293.7",""
"24","Deadstrike","791958$3.81%792.0k","-","35","69.74%","281.2",""
"78","Jiero","780922$3.76%780.9k","-","80","66.43%","277.3",""
"51","Ultimecia","776587$3.74%776.6k","-","48","62.37%","275.7",""
"43","Dryrun","762456$3.67%762.5k","67","59","68.73%","270.7",""
"37","Changó","748604$3.60%748.6k","68","39","56.15%","265.8",""
"33","Kirilov","728468$3.51%728.5k","-","33","53.30%","258.6",""
"30","Stankdik","719935$3.47%719.9k","-","38","57.20%","255.6",""
"57","Gaunz","717845$3.46%717.8k","-","69","63.02%","254.9",""
"57","Dietolive","709946$3.42%709.9k","70","65","62.34%","252.1",""
"32","Dïrty","694908$3.34%694.9k","63","56","61.90%","246.7",""
"29","Synergy","692398$3.33%692.4k","-","42","59.53%","245.8",""
"44","Irisviiel","673922$3.24%673.9k","-","51","66.78%","239.3",""
"32","Guliveris","658165$3.17%658.2k","-","36","73.17%","233.7",""
"22","Decimous","656034$3.16%656.0k","-","33","65.13%","232.9",""
"51","Bandakar","645232$3.11%645.2k","-","61","82.56%","229.1",""
"33","Tumblebug","638121$3.07%638.1k","71","32","60.26%","226.6",""
"31","Ishney","588418$2.83%588.4k","73","30","68.07%","208.9",""
"33","Seadub","550709$2.65%550.7k","-","39","58.82%","195.5",""
"47","Crox","473347$2.28%473.3k","-","56","68.85%","168.1",""
"42","Fossett","411852$1.98%411.9k","-","53","48.84%","146.2",""
"68","Pemberstone","387316$1.86%387.3k","-","74","57.44%","137.5",""
"78","Ghazan","199079$0.96%199.1k","-","78","25.10%","70.7",""
"86","Deyn","27868$0.13%27.9k","70","89","0.97%","9.9",""
"97","Enders","23821$0.11%23.8k","70","97","0.76%","8.5",""
"95","Pythagorean","22802$0.11%22.8k","-","95","3.80%","8.1",""
"99","Yunghelga","20614$0.10%20.6k","69","99","1.27%","7.3",""
"76","Slecht","19924$0.10%19.9k","69","78","2.98%","7.1",""
"61","Necrohealya","16862$0.08%16.9k","71","61","2.16%","6.0",""
"73","Milku","15259$0.07%15.3k","-","74","1.71%","5.4",""
"76","Eighchbar","9546$0.05%9.5k","-","78","1.02%","3.4",""
"-","Drgupta","3320$0.02%3.3k","62","-","0.00%","1.2",""
"81","Wangcake","1661$0.01%1.7k","72","82","0.82%","0.6",""
