"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Bandakar","648637$19.65%648.6k","50.84%","-","56.04%","178.3",""
"Pemberstone","521082$15.79%521.1k","54.08%","68","47.58%","143.2",""
"Akecheta","284720$8.63%284.7k","24.67%","-","29.29%","78.3",""
"Flatzz","239843$7.27%239.8k","22.30%","66","25.34%","65.9",""
"Dohvyk","212415$6.44%212.4k","16.59%","-","21.98%","58.4",""
"Duhd","156977$4.76%157.0k","13.42%","64","16.33%","43.1",""
"Stankdik","132055$4.00%132.1k","20.59%","66","16.52%","36.3",""
"Parisshelton","115509$3.50%115.5k","14.22%","68","18.00%","31.7",""
"Gaunz","111557$3.38%111.6k","11.84%","66","16.00%","30.7",""
"Ghazan","110086$3.34%110.1k","20.64%","70","16.68%","30.3",""
"Seadub","107282$3.25%107.3k","10.75%","67","16.94%","29.5",""
"Funk","102253$3.10%102.3k","13.49%","-","12.30%","28.1",""
"Eighchbar","84961$2.57%85.0k","13.77%","68","13.69%","23.4",""
"Jiero","83999$2.55%84.0k","23.00%","-","12.25%","23.1",""
"Necrohealya","81797$2.48%81.8k","17.54%","-","9.88%","22.5",""
"Deyn","73847$2.24%73.8k","17.03%","-","10.62%","20.3",""
"Pythagorean","66903$2.03%66.9k","11.37%","-","10.30%","18.4",""
"Slecht","66247$2.01%66.2k","12.39%","67","8.57%","18.2",""
"Wangcake","53187$1.61%53.2k","14.10%","-","6.80%","14.6",""
"Irisviiel","46267$1.40%46.3k","14.59%","61","7.61%","12.7",""
"Figgy","717$0.02%717.0","-","64","0.00%","0.2",""
"Llewod","21$0.00%21.0","27.59%","5","0.00%","0.0",""
