"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"66","Milku","649495$11.01%649.5k","35.48%","62","70","80.41%","175.1",""
"61","Disk","604297$10.25%604.3k","23.99%","61","76","64.53%","162.9",""
"35","Gonz","604104$10.24%604.1k","15.47%","63","31","45.72%","162.8",""
"45","Deyn","595068$10.09%595.1k","23.44%","62","45","42.88%","160.4",""
"54","Enders","588812$9.98%588.8k","27.77%","60","73","55.83%","158.7",""
"25","Derka","551266$9.35%551.3k","40.61%","-","42","56.69%","148.6",""
"27","Ghazan","521547$8.84%521.5k","19.95%","-","44","39.96%","140.6",""
"31","Pythagorean","477109$8.09%477.1k","27.56%","-","47","50.07%","128.6",""
"38","Necrohealya","465018$7.88%465.0k","31.52%","62","47","58.99%","125.3",""
"42","Nakur","455588$7.72%455.6k","43.24%","-","47","68.76%","122.8",""
"76","Hoebowjoe","30770$0.52%30.8k","-","60","76","0.57%","8.3",""
"82","Ultimecia","30673$0.52%30.7k","36.27%","-","82","12.39%","8.3",""
"67","Trike","26141$0.44%26.1k","22.65%","-","70","33.14%","7.0",""
"76","Funk","23217$0.39%23.2k","-","59","75","0.00%","6.3",""
"80","Grimmeat","19395$0.33%19.4k","1.27%","55","79","0.81%","5.2",""
"76","Cavander","18684$0.32%18.7k","49.79%","62","76","0.64%","5.0",""
"52","Akecheta","18532$0.31%18.5k","14.83%","-","55","2.87%","5.0",""
"55","Changó","18122$0.31%18.1k","28.78%","-","53","28.96%","4.9",""
"68","Saphex","17623$0.30%17.6k","0.46%","55","66","0.00%","4.8",""
"62","Flatzz","16869$0.29%16.9k","4.57%","60","61","2.35%","4.5",""
"65","Mogs","15955$0.27%16.0k","-","62","65","0.69%","4.3",""
"79","Dietolive","14232$0.24%14.2k","24.47%","59","80","25.13%","3.8",""
"58","Crox","13052$0.22%13.1k","11.97%","-","68","2.94%","3.5",""
"76","Kirilov","13033$0.22%13.0k","37.88%","-","77","5.83%","3.5",""
"78","Mexius","12879$0.22%12.9k","28.53%","-","77","4.58%","3.5",""
"86","Valara","11156$0.19%11.2k","-","60","86","0.63%","3.0",""
"87","Overbit","10594$0.18%10.6k","-","60","87","1.05%","2.9",""
"64","Thicc","9956$0.17%10.0k","-","58","77","0.70%","2.7",""
"61","Fossett","9347$0.16%9.3k","4.16%","62","63","0.67%","2.5",""
"91","Darunor","8558$0.15%8.6k","-","-","90","0.75%","2.3",""
"46","Furckinstein","8553$0.15%8.6k","23.78%","-","48","0.87%","2.3",""
"36","Muhhgi","8464$0.14%8.5k","23.08%","58","43","18.09%","2.3",""
"76","Trii","7026$0.12%7.0k","9.65%","61","80","0.57%","1.9",""
"63","Deadstrike","5069$0.09%5.1k","-","-","69","0.00%","1.4",""
"95","Jiero","4940$0.08%4.9k","6.99%","65","95","0.00%","1.3",""
"88","Melven","3118$0.05%3.1k","-","60","90","0.00%","0.8",""
"92","Grimseeker","2881$0.05%2.9k","-","-","92","0.00%","0.8",""
"93","Ishney","2554$0.04%2.6k","55.65%","56","91","0.00%","0.7",""
"52","Impervious","2500$0.04%2.5k","-","-","57","0.00%","0.7",""
"54","Chainguin","2177$0.04%2.2k","17.76%","-","58","0.00%","0.6",""
