"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"75","Enders","596182$12.00%596.2k","29.91%","65","70","80.89%","227.9",""
"51","Deyn","519832$10.46%519.8k","31.46%","65","44","48.38%","198.7",""
"77","Milku","505679$10.18%505.7k","45.71%","66","71","87.28%","193.3",""
"42","Gonz","454224$9.14%454.2k","32.92%","66","34","47.23%","173.7",""
"57","Eighchbar","447469$9.01%447.5k","29.80%","61","68","85.09%","171.1",""
"63","Pythagorean","422650$8.51%422.7k","34.07%","-","67","54.42%","161.6",""
"38","Nakur","356110$7.17%356.1k","50.33%","65","32","73.21%","136.1",""
"25","Necrohealya","322549$6.49%322.5k","43.58%","66","20","65.24%","123.3",""
"15","Takanu","319641$6.43%319.6k","34.41%","59","23","39.38%","122.2",""
"19","Tazdink","270732$5.45%270.7k","23.18%","63","16","39.81%","103.5",""
"27","Ghazan","217908$4.39%217.9k","33.19%","64","25","23.61%","83.3",""
"69","Akecheta","32713$0.66%32.7k","20.34%","63","66","50.72%","12.5",""
"77","Ultimecia","29162$0.59%29.2k","33.41%","65","77","2.28%","11.1",""
"67","Muhhgi","29090$0.59%29.1k","24.05%","64","65","34.21%","11.1",""
"51","Flatzz","27899$0.56%27.9k","21.52%","64","49","37.42%","10.7",""
"76","Trike","27777$0.56%27.8k","31.57%","-","73","44.79%","10.6",""
"79","Hoebowjoe","26420$0.53%26.4k","0.78%","64","80","2.51%","10.1",""
"66","Mogs","26411$0.53%26.4k","-","61","65","2.73%","10.1",""
"55","Changó","24900$0.50%24.9k","30.08%","-","54","40.15%","9.5",""
"65","Danty","24556$0.49%24.6k","35.55%","-","62","36.85%","9.4",""
"62","Darunor","23483$0.47%23.5k","31.12%","-","70","5.29%","9.0",""
"64","Trii","21819$0.44%21.8k","9.18%","65","62","4.41%","8.3",""
"94","Valara","20995$0.42%21.0k","-","64","94","2.09%","8.0",""
"65","Overbit","20744$0.42%20.7k","12.82%","61","68","4.24%","7.9",""
"55","Kirilov","17889$0.36%17.9k","22.11%","65","54","6.12%","6.8",""
"88","Mexius","16358$0.33%16.4k","7.83%","-","87","2.93%","6.3",""
"74","Fossett","16192$0.33%16.2k","-","64","73","1.41%","6.2",""
"59","Bandakar","15123$0.30%15.1k","25.12%","-","58","22.72%","5.8",""
"69","Crow","15051$0.30%15.1k","2.06%","58","71","0.91%","5.8",""
"54","Crox","13792$0.28%13.8k","10.20%","-","54","2.00%","5.3",""
"91","Grimseeker","12251$0.25%12.3k","-","66","90","1.13%","4.7",""
"61","Deadstrike","11970$0.24%12.0k","30.60%","63","62","4.25%","4.6",""
"67","Cavander","11630$0.23%11.6k","22.95%","63","66","0.00%","4.4",""
"97","Jiero","11613$0.23%11.6k","1.24%","67","97","1.63%","4.4",""
"73","Dirtypantiz","10989$0.22%11.0k","-","62","73","1.06%","4.2",""
"91","Chingu","10223$0.21%10.2k","-","60","93","0.59%","3.9",""
"87","Claudiu","9756$0.20%9.8k","-","64","87","1.07%","3.7",""
"68","Chainguin","9346$0.19%9.3k","18.45%","65","66","1.75%","3.6",""
"74","Dietolive","9335$0.19%9.3k","2.91%","-","74","12.24%","3.6",""
"66","Saphex","8179$0.16%8.2k","-","62","65","0.95%","3.1",""
